日期,地区,确诊人数,治愈人数,死亡人数,新增确诊,新增治愈,新增死亡,现有确诊
2月10日,随州,1095,26,12,46,3,2,1057
2月11日,随州,1129,51,12,34,25,0,1066
2月12日,随州,1160,62,14,31,11,2,1084
2月13日,随州,1206,72,16,46,10,2,1118
1月21日,天门,0,0,0,0,0,0,0
1月22日,天门,0,0,0,0,0,0,0
1月23日,天门,0,0,0,0,0,0,0
1月24日,天门,3,0,0,3,0,0,3
1月25日,天门,5,0,0,2,0,0,5
1月26日,天门,13,0,0,8,0,0,13
1月27日,天门,23,0,2,10,0,2,21
1月28日,天门,34,0,3,11,0,1,31
1月29日,天门,44,0,3,10,0,0,41
1月30日,天门,67,0,6,23,0,3,61
1月31日,天门,82,0,7,15,0,1,75
2月1日,天门,99,0,7,17,0,0,92
2月2日,天门,115,0,10,16,0,3,105
2月3日,天门,117,0,10,2,0,0,107
2月4日,天门,128,0,10,11,0,0,118
2月5日,天门,138,1,10,10,1,0,127
2月6日,天门,163,1,10,25,0,0,152
2月7日,天门,179,1,10,16,0,0,168
2月8日,天门,197,1,10,18,0,0,186
2月9日,天门,217,10,10,20,9,0,197
2月10日,天门,261,12,10,44,2,0,239
2月11日,天门,293,12,10,32,0,0,271
2月12日,天门,362,13,10,69,1,0,339
2月13日,天门,416,21,10,54,8,0,385
1月21日,武汉,363,28,9,0,0,0,326
1月22日,武汉,425,28,17,62,0,8,380
1月23日,武汉,495,31,23,70,3,6,441
1月24日,武汉,572,32,38,77,1,15,502
1月25日,武汉,618,40,45,46,8,7,533
1月26日,武汉,698,42,63,80,2,18,593
1月27日,武汉,1590,45,85,892,3,22,1460
1月28日,武汉,1905,78,104,315,33,19,1723
1月29日,武汉,2261,85,129,356,7,25,2047
1月30日,武汉,2639,106,159,378,21,30,2374
1月31日,武汉,3215,142,192,576,36,33,2881
2月1日,武汉,4109,174,224,894,32,32,3711
2月2日,武汉,5142,227,265,1033,53,41,4650
2月3日,武汉,6384,306,313,1242,79,48,5765
2月4日,武汉,8351,369,362,1967,63,49,7620
2月5日,武汉,10117,432,414,1766,63,52,9271
2月6日,武汉,11618,535,478,1501,103,64,10605
2月7日,武汉,13603,699,545,1985,164,67,12359
2月8日,武汉,14982,878,608,1379,179,63,13496
2月9日,武汉,16902,1045,681,1920,167,73,15176
2月10日,武汉,18454,1207,748,1552,162,67,16499
2月11日,武汉,19558,1378,820,1104,171,72,17360
2月12日,武汉,32994,1916,1036,13436,538,216,30042
2月13日,武汉,35991,2286,1124,2997,370,88,32581
1月21日,仙桃,0,0,0,0,0,0,0
1月22日,仙桃,0,0,0,0,0,0,0
1月23日,仙桃,2,0,0,2,0,0,2
1月24日,仙桃,10,0,0,8,0,0,10
1月25日,仙桃,11,0,0,1,0,0,11
1月26日,仙桃,12,0,0,1,0,0,12
1月27日,仙桃,27,0,0,15,0,0,27
1月28日,仙桃,32,0,0,5,0,0,32
1月29日,仙桃,55,0,0,23,0,0,55
1月30日,仙桃,90,0,1,35,0,1,89
1月31日,仙桃,97,0,1,7,0,0,96
2月1日,仙桃,140,0,3,43,0,2,137
2月2日,仙桃,169,0,3,29,0,0,166
2月3日,仙桃,188,0,3,19,0,0,185
2月4日,仙桃,225,0,4,37,0,1,221
2月5日,仙桃,265,0,5,40,0,1,260
2月6日,仙桃,307,11,5,42,11,0,291
2月7日,仙桃,359,14,5,52,3,0,340
2月8日,仙桃,379,16,5,20,2,0,358
2月9日,仙桃,416,16,7,37,0,2,393
2月10日,仙桃,438,41,11,22,25,4,386
2月11日,仙桃,460,43,13,22,2,2,404
2月12日,仙桃,480,48,16,20,5,3,416
2月13日,仙桃,500,58,17,20,10,1,425
1月21日,咸宁,0,0,0,0,0,0,0
1月22日,咸宁,0,0,0,0,0,0,0
1月23日,咸宁,0,0,0,0,0,0,0
1月24日,咸宁,0,0,0,0,0,0,0
1月25日,咸宁,43,0,0,43,0,0,43
1月26日,咸宁,64,0,0,21,0,0,64
1月27日,咸宁,91,0,0,27,0,0,91
1月28日,咸宁,112,0,0,21,0,0,112
1月29日,咸宁,130,0,0,18,0,0,130
1月30日,咸宁,166,0,0,36,0,0,166
1月31日,咸宁,206,1,0,40,1,0,205
2月1日,咸宁,246,1,0,40,0,0,245
2月2日,咸宁,296,1,0,50,0,0,295
2月3日,咸宁,348,1,0,52,0,0,347
2月4日,咸宁,384,2,0,36,1,0,382
2月5日,咸宁,399,3,1,15,1,1,395
2月6日,咸宁,443,6,1,44,3,0,436
2月7日,咸宁,476,12,2,33,6,1,462
2月8日,咸宁,493,23,4,17,11,2,466
2月9日,咸宁,507,44,4,14,21,0,459
2月10日,咸宁,515,51,5,8,7,1,459
2月11日,咸宁,525,65,6,10,14,1,454
2月12日,咸宁,534,84,7,9,19,1,443
2月13日,咸宁,732,99,8,198,15,1,625
1月21日,襄阳,0,0,0,0,0,0,0
1月22日,襄阳,0,0,0,0,0,0,0
1月23日,襄阳,0,0,0,0,0,0,0
1月24日,襄阳,0,0,0,0,0,0,0
1月25日,襄阳,2,0,0,2,0,0,2
1月26日,襄阳,36,0,0,34,0,0,36
1月27日,襄阳,70,0,0,34,0,0,70
1月28日,襄阳,131,0,0,61,0,0,131
1月29日,襄阳,163,0,0,32,0,0,163
1月30日,襄阳,286,0,0,123,0,0,286
1月31日,襄阳,347,0,0,61,0,0,347
2月1日,襄阳,441,0,0,94,0,0,441
2月2日,襄阳,548,0,0,107,0,0,548
2月3日,襄阳,632,1,1,84,1,1,630
2月4日,襄阳,735,7,2,103,6,1,726
2月5日,襄阳,787,10,2,52,3,0,775
2月6日,襄阳,838,29,3,51,19,1,806
2月7日,襄阳,907,31,5,69,2,2,871
2月8日,襄阳,988,40,7,81,9,2,941
2月9日,襄阳,1019,42,9,31,2,2,968
2月10日,襄阳,1063,49,12,44,7,3,1002
2月11日,襄阳,1088,60,12,25,11,0,1016
2月12日,襄阳,1101,66,13,13,6,1,1022
2月13日,襄阳,1111,73,16,10,7,3,1022
1月21日,孝感,0,0,0,0,0,0,0
1月22日,孝感,0,0,0,0,0,0,0
1月23日,孝感,22,0,0,22,0,0,22
1月24日,孝感,26,0,0,4,0,0,26
1月25日,孝感,55,0,0,29,0,0,55
1月26日,孝感,100,0,1,45,0,1,99
1月27日,孝感,173,0,1,73,0,0,172
1月28日,孝感,274,0,3,101,0,2,271
1月29日,孝感,399,0,6,125,0,3,393
1月30日,孝感,541,2,9,142,2,3,530
1月31日,孝感,628,2,12,87,0,3,614
2月1日,孝感,749,2,14,121,0,2,733
2月2日,孝感,918,2,14,169,0,0,902
2月3日,孝感,1120,4,17,202,2,3,1099
2月4日,孝感,1462,6,18,342,2,1,1438
2月5日,孝感,1886,9,25,424,3,7,1852
2月6日,孝感,2141,25,25,255,16,0,2091
2月7日,孝感,2313,38,26,172,13,1,2249
2月8日,孝感,2436,45,29,123,7,3,2362
2月9日,孝感,2541,81,33,105,36,4,2427
2月10日,孝感,2642,139,41,101,58,8,2462
2月11日,孝感,2751,179,45,109,40,4,2527
2月12日,孝感,2874,207,49,123,28,4,2618
2月13日,孝感,3009,255,57,135,48,8,2697
1月21日,宜昌,0,0,0,0,0,0,0
1月22日,宜昌,0,0,0,0,0,0,0
1月23日,宜昌,1,0,1,1,0,1,0
1月24日,宜昌,1,0,1,0,0,0,0
1月25日,宜昌,20,0,1,19,0,0,19
1月26日,宜昌,31,0,1,11,0,0,30
1月27日,宜昌,51,0,1,20,0,0,50
1月28日,宜昌,63,0,1,12,0,0,62
1月29日,宜昌,117,0,1,54,0,0,116
1月30日,宜昌,167,0,1,50,0,0,166
1月31日,宜昌,276,0,1,109,0,0,275
2月1日,宜昌,353,0,1,77,0,0,352
2月2日,宜昌,392,1,1,39,1,0,390
2月3日,宜昌,452,2,3,60,1,2,447
2月4日,宜昌,496,9,4,44,7,1,483
2月5日,宜昌,563,9,6,67,0,2,548
2月6日,宜昌,610,11,7,47,2,1,592
2月7日,宜昌,633,24,8,23,13,1,601
2月8日,宜昌,711,36,8,78,12,0,667
2月9日,宜昌,749,43,8,38,7,0,698
2月10日,宜昌,772,52,8,23,9,0,712
2月11日,宜昌,784,62,8,12,10,0,714
2月12日,宜昌,810,72,11,26,10,3,727
2月13日,宜昌,877,81,13,67,9,2,783
1月21日,总计,375,28,9,0,0,0,338
1月22日,总计,444,28,17,69,0,8,399
1月23日,总计,549,31,24,105,3,7,494
1月24日,总计,729,32,39,180,1,15,658
1月25日,总计,1052,42,52,323,10,13,958
1月26日,总计,1423,44,76,371,2,24,1303
1月27日,总计,2714,47,100,1291,3,24,2567
1月28日,总计,3554,80,125,840,33,25,3349
1月29日,总计,4586,90,162,1032,10,37,4334
1月30日,总计,5806,116,204,1220,26,42,5486
1月31日,总计,7153,166,249,1347,50,45,6738
2月1日,总计,9074,215,294,1921,49,45,8565
2月2日,总计,11177,295,350,2103,80,56,10532
2月3日,总计,13522,397,414,2345,102,64,12711
2月4日,总计,16678,520,479,3156,123,65,15679
2月5日,总计,19665,633,549,2987,113,70,18483
2月6日,总计,22112,817,618,2447,184,69,20677
2月7日,总计,24953,1115,699,2841,298,81,23139
2月8日,总计,27066,1439,780,2113,324,81,24847
2月9日,总计,29631,1795,871,2565,356,91,26965
2月10日,总计,31728,2222,974,2097,427,103,28532
2月11日,总计,33366,2639,1068,1638,417,94,29659
2月12日,总计,48206,3441,1310,14840,802,242,43455
2月13日,总计,51986,4131,1426,3780,690,116,46429
