modelId,semantic,occur
223,vacuum_cleaner,8532
224,iron,8994
225,air_conditioner,28612
226,pedestal_fan,5795
227,air_conditioner,2285
228,television,17689
229,towel_rack,9210
230,heater,6015
232,kitchen_cabinet,4224
233,stand,3463
235,rug,36094
236,picture_frame,3448
237,plant,17172
238,rug,73112
239,mirror,11517
240,floor_lamp,3778
241,range_hood,4754
242,fireplace,5265
243,bottle,14584
244,glass,28475
245,cutting_board,10036
246,door,17650
247,door,11366
248,shelving,5484
249,chair,3977
250,hanging_kitchen_cabinet,10544
251,hanging_kitchen_cabinet,6950
252,dining_table,1041
253,stairs,2392
254,stairs,5431
255,chair,19831
256,table_lamp,2375
257,picture_frame,15325
258,vase,26050
259,sofa,2248
260,sofa,3274
261,sofa,2419
262,sofa,4935
263,ironing_board,9784
264,range_oven,5805
265,beer,9306
266,wardrobe_cabinet,6452
267,wardrobe_cabinet,2935
268,shelving,4777
269,wardrobe_cabinet,2960
270,bunker_bed,5076
271,wardrobe_cabinet,5108
272,wardrobe_cabinet,3659
273,desk,824
274,wardrobe_cabinet,1483
275,curtain,24456
276,curtain,7948
277,chair,3106
278,loudspeaker,24986
279,switch,35529
280,switch,29791
281,kitchen_cabinet,6227
282,kitchen_cabinet,8917
283,kitchen_cabinet,6202
284,kitchen_cabinet,6705
285,kitchen_cabinet,5584
286,hanging_kitchen_cabinet,3643
287,hanging_kitchen_cabinet,6625
288,kitchen_cabinet,4000
289,kitchen_cabinet,2004
290,kitchen_cabinet,2044
291,kitchen_cabinet,2153
292,shoes_cabinet,4912
293,shelving,10140
294,desk,7333
295,kitchen_cabinet,2041
311,stand,4113
312,stand,1499
313,clock,18756
314,mirror,11698
315,stand,2561
316,trash_can,1119
317,trash_can,1336
318,stand,4877
319,books,16078
320,books,39256
321,sofa,3783
322,toy,4397
323,person,20979
324,person,21641
325,person,12385
326,door,9705
327,door,1229
328,partition,24770
329,partition,8423
330,partition,9024
331,door,1196
333,person,14205
334,fireplace,1599
335,office_chair,10608
336,chair,1683
337,gym_equipment,4887
338,gym_equipment,4862
339,gym_equipment,7012
340,chessboard,5063
341,fish_tank,6478
342,fishbowl,4367
343,kettle,5624
344,kettle,7840
345,playstation,10442
346,person,7164
347,armchair,1662
348,armchair,1691
349,armchair,2782
350,sofa,2679
351,armchair,4921
352,armchair,10434
353,toy,592
354,headstone,816
355,coffin,360
356,toy,578
357,toy,699
358,toy,624
359,toy,495
360,sofa,144
362,decoration,496
363,motorcycle,12942
364,car,28140
365,column,53233
366,column,19058
367,column,17773
368,fence,14159
369,fence,12359
370,fence,79685
371,fence,36262
372,fence,6099
373,fence,6095
374,fence,9338
375,fence,12085
376,fence,12272
377,outdoor_lamp,31614
378,outdoor_lamp,17257
379,fence,15170
380,sofa,2247
381,outdoor_lamp,18091
382,sofa,1532
383,wardrobe_cabinet,2320
384,wardrobe_cabinet,1111
385,wardrobe_cabinet,2060
386,wardrobe_cabinet,1606
387,wardrobe_cabinet,1939
388,wardrobe_cabinet,1571
389,wardrobe_cabinet,3641
390,shelving,1585
391,wardrobe_cabinet,889
392,tv_stand,3027
393,shelving,15435
394,outdoor_lamp,35481
395,trash_can,11131
396,stand,5218
397,dresser,2477
398,dresser,2571
399,wardrobe_cabinet,1442
40,dining_table,2826
403,double_bed,6498
404,stand,2574
405,kitchen_cabinet,4867
406,hanging_kitchen_cabinet,3618
407,kitchen_cabinet,6406
408,kitchen_cabinet,3133
409,chair,5468
41,coffee_table,2081
410,basketball_hoop,4775
411,outdoor_seating,4604
412,outdoor_seating,6860
413,grill,8609
414,chair,12302
415,armchair,4902
416,wardrobe_cabinet,7899
417,desk,1139
418,toilet,12253
419,table_lamp,5060
42,wardrobe_cabinet,5340
420,sofa,906
421,table_lamp,4356
422,table_lamp,4916
423,table_lamp,1371
424,desk,398
425,armchair,6120
426,armchair,3005
427,armchair,2578
428,desk,1816
429,chair,9029
43,dryer,1185
430,desk,2538
431,dresser,2251
432,gym_equipment,4193
433,outdoor_seating,2146
434,gym_equipment,2011
435,gym_equipment,3576
436,gym_equipment,2184
437,gym_equipment,1913
438,gym_equipment,1385
439,gym_equipment,1633
44,household_appliance,1756
440,shelving,1465
441,chair,23265
442,dining_table,6113
443,toilet,2267
444,toilet,3710
445,shoes_cabinet,3986
446,chair,6197
447,sink,5440
448,shelving,4708
449,armchair,1276
45,hanging_kitchen_cabinet,2558
450,chair,8295
451,tv_stand,1390
452,dining_table,2690
453,toilet,3147
454,tv_stand,2147
455,desk,1244
456,shelving,4989
457,shelving,2051
458,shelving,3027
459,shelving,68447
46,hanging_kitchen_cabinet,2083
460,toy,1752
461,toy,1528
462,toy,1534
463,plant,650
464,dresser,1873
465,bathtub,3553
466,bench_chair,2171
467,chair,4068
468,coffee_table,1724
469,dresser,444
470,coffee_table,1050
471,chair,4932
472,coffee_table,2135
473,chair,5003
474,table,2417
475,bench_chair,2287
476,bench_chair,1323
477,desk,297
478,ottoman,6466
479,shoes_cabinet,1699
480,dresser,1303
481,wardrobe_cabinet,2140
482,bookshelf,1697
483,stand,1651
485,desk,679
486,desk,570
487,desk,1440
488,stand,562
489,stand,1195
490,stand,988
491,armchair,3473
492,shelving,1173
493,shelving,3324
494,desk,678
495,tv_stand,967
496,chair,3053
497,partition,11089
498,partition,7453
499,towel_rack,16351
500,chair,4515
501,chair,5685
502,partition,5057
503,wardrobe_cabinet,1102
504,dining_table,904
505,shelving,2750
506,desk,2269
507,armchair,1388
508,shelving,3347
509,dresser,1261
510,heater,16604
511,armchair,604
512,wardrobe_cabinet,1756
513,stand,2451
514,desk,1900
515,table_lamp,1368
516,office_chair,3954
517,floor_lamp,13931
518,whiteboard,3035
519,fireplace,5952
520,floor_lamp,1695
521,floor_lamp,3888
522,piano,3209
523,floor_lamp,7086
524,floor_lamp,2804
525,dining_table,1781
526,hanger,1921
527,hanger,7235
528,kitchen_cabinet,1173
529,vase,11486
530,plates,17723
531,candle,9082
532,office_chair,4001
533,desk,1172
534,stand,1117
535,armchair,937
536,utensil_holder,9112
537,food_processor,2537
538,knife_rack,11843
539,coffee_kettle,1860
540,toy,3492
541,ottoman,6417
542,coffee_table,3324
543,coffee_table,750
544,ottoman,2062
545,ottoman,3707
546,coffee_table,1671
547,ottoman,2672
548,ottoman,1706
549,coffee_table,918
550,coffee_table,357
551,coffee_table,1233
552,coffee_table,500
553,ottoman,6117
554,ottoman,909
555,coffee_table,1944
556,coffee_table,1578
557,ottoman,2251
558,ottoman,2934
559,ottoman,2272
560,ottoman,1554
561,coffee_table,1252
562,pool,3753
563,coffee_table,1773
564,coffee_table,453
565,coffee_table,915
566,coffee_table,1667
567,coffee_table,1821
568,coffee_table,1681
569,coffee_table,467
57,sofa,3933
570,tv_stand,1278
577,tv_stand,1482
579,coffee_table,874
580,coffee_table,1661
586,coffee_table,1064
587,coffee_table,2200
589,coffee_table,1580
590,tv_stand,1763
591,coffee_table,538
592,coffee_table,1092
593,kitchen_cabinet,7150
594,kitchen_cabinet,5316
595,kitchen_cabinet,1583
596,kitchen_cabinet,2367
597,kitchen_cabinet,1899
598,kitchen_cabinet,3845
599,kitchen_cabinet,6575
60,bathtub,3184
600,kitchen_cabinet,4429
601,kitchen_cabinet,1797
602,kitchen_cabinet,4982
603,kitchen_cabinet,2398
604,kitchen_cabinet,3429
605,bench_chair,4424
606,wardrobe_cabinet,682
607,shelving,1031
608,tv_stand,1436
609,wardrobe_cabinet,415
610,wardrobe_cabinet,495
611,wardrobe_cabinet,585
612,shelving,4661
613,wardrobe_cabinet,1794
614,wardrobe_cabinet,1176
615,dresser,2349
616,tv_stand,865
617,tv_stand,1254
618,tv_stand,2778
620,plant,12779
621,curtain,13277
622,curtain,9946
623,plant,32692
624,plant,19041
625,curtain,21576
626,chandelier,20030
627,chandelier,25055
628,chandelier,9036
629,chandelier,15581
63,sofa,1995
630,chandelier,18414
631,chandelier,8615
632,chandelier,12847
633,chandelier,11725
634,plant,19604
635,pool,6627
636,chandelier,4716
637,plant,11524
638,wardrobe_cabinet,787
639,wardrobe_cabinet,692
64,sofa,1964
640,trash_can,2255
641,ATM,1195
645,sofa,1938
646,armchair,2045
647,ottoman,3564
648,toy,5532
649,chandelier,7454
650,ceiling_fan,11805
651,xbox,8552
652,kitchen_cabinet,1954
653,kitchen_cabinet,2090
654,dining_table,2669
655,dining_table,1809
656,dining_table,2674
657,kitchen_cabinet,2085
658,kitchen_cabinet,519
659,hanging_kitchen_cabinet,1183
660,hanging_kitchen_cabinet,1791
661,range_hood,2245
662,kitchen_cabinet,1727
663,kitchen_cabinet,1077
664,dining_table,1189
665,kitchen_cabinet,2845
666,kitchen_cabinet,2889
667,hanging_kitchen_cabinet,4403
668,hanging_kitchen_cabinet,5293
669,kitchen_cabinet,8010
67,armchair,5442
670,kitchen_cabinet,4476
671,kitchen_cabinet,2730
672,kitchen_cabinet,2956
673,kitchen_cabinet,2342
674,shelving,2663
675,dining_table,1399
676,dining_table,800
677,office_chair,4409
678,fruit_bowl,16309
679,picture_frame,11524
680,picture_frame,17124
681,picture_frame,18290
682,bench_chair,1556
683,table_lamp,7924
684,table_lamp,8358
685,table_lamp,1390
686,goal_post,4386
687,pet,3311
688,pet,4761
689,pet,2641
69,armchair,10367
690,sofa,1179
691,outdoor_lamp,16331
692,sofa,1331
693,armchair,2292
70,armchair,2043
700,sofa,1865
702,pool,4332
703,outdoor_seating,1650
704,outdoor_seating,1837
706,outdoor_seating,879
707,outdoor_seating,2128
708,outdoor_seating,2245
709,chair,902
71,coffee_table,6493
710,chair,722
711,chair,456
712,chair,748
713,coffee_table,1069
714,coffee_table,406
715,coffee_table,609
716,coffee_table,604
717,plant,53471
718,plant,47906
719,plant,17226
720,plant,66600
721,plant,13736
722,fence,14350
723,plant,24032
724,plant,24257
725,plant,22401
726,plant,30468
727,plant,8801
728,plant,12998
729,pool,3310
73,door,24818
730,pool,1695
731,plant,5679
732,plant,3005
733,plant,4499
734,plant,8029
735,plant,4223
736,plant,8820
737,plant,3055
738,plant,8189
739,plant,7256
74,sink,4855
740,plant,3846
741,plant,6139
742,plant,8963
743,umbrella,2124
744,umbrella,2776
745,sofa,1228
746,umbrella,1933
747,curtain,20639
748,curtain,3284
749,umbrella,3542
75,double_bed,7207
750,curtain,2271
751,curtain,1569
752,window,58002
753,window,26856
754,window,29495
755,window,20167
756,door,20054
757,door,10066
758,door,5087
759,door,11163
760,door,7772
761,door,7185
762,door,10312
763,door,5628
764,door,2888
766,window,9380
767,window,22863
768,door,14254
769,door,11252
77,double_bed,9273
770,door,20952
773,wardrobe_cabinet,3084
775,fence,8512
776,fence,13304
777,fence,8327
778,arch,20255
779,arch,10052
78,single_bed,21070
780,arch,8017
781,picture_frame,59597
782,stairs,751
783,stairs,996
784,stairs,890
785,stairs,3715
786,plant,569
79,sink,6666
797,roof,13792
80,bathtub,9618
81,bathtub,5295
82,bathtub,10692
83,toilet,44937
85,washer,22010
86,kitchen_cabinet,3898
87,sink,5904
88,chair,15966
89,chair,16343
90,chair,5885
91,chair,3495
92,kitchen_cabinet,17623
93,tv_stand,1583
94,kitchen_cabinet,4847
95,shelving,4355
97,shelving,2354
98,dresser,1286
99,kitchen_cabinet,6147
s__1000,stand,220
s__1001,wardrobe_cabinet,208
s__1002,dresser,156
s__1003,coffee_table,529
s__1004,coffee_table,432
s__1005,coffee_table,256
s__1006,coffee_table,424
s__1007,coffee_table,186
s__1008,coffee_table,117
s__1009,coffee_table,112
s__1010,coffee_table,299
s__1011,coffee_table,255
s__1012,coffee_table,173
s__1013,coffee_table,273
s__1014,coffee_table,206
s__1015,coffee_table,243
s__1016,coffee_table,336
s__1017,chair,1029
s__1018,coffee_table,502
s__1019,chair,564
s__1020,desk,20
s__1021,desk,102
s__1022,desk,59
s__1023,desk,139
s__1024,wall_lamp,438
s__1025,chandelier,1250
s__1026,table_lamp,389
s__1027,chandelier,882
s__1028,wall_lamp,459
s__1029,kitchen_cabinet,108
s__1030,kitchen_cabinet,605
s__1031,kitchen_cabinet,117
s__1032,kitchen_cabinet,319
s__1033,kitchen_cabinet,269
s__1034,kitchen_cabinet,168
s__1035,kitchen_cabinet,182
s__1036,kitchen_cabinet,116
s__1037,coffee_table,154
s__1038,chair,94
s__1039,chair,502
s__1040,chair,382
s__1051,kitchen_cabinet,212
s__1052,kitchen_cabinet,73
s__1053,kitchen_cabinet,121
s__1054,kitchen_cabinet,266
s__1055,kitchen_cabinet,187
s__1056,kitchen_cabinet,132
s__1057,kitchen_cabinet,129
s__1058,range_oven,359
s__1059,chandelier,287
s__1060,range_hood,290
s__1061,shelving,782
s__1062,chair,505
s__1063,hanging_kitchen_cabinet,353
s__1064,kitchen_cabinet,46
s__1066,kitchen_cabinet,167
s__1067,sofa,150
s__1068,stand,92
s__1069,chandelier,1146
s__1070,chandelier,586
s__1071,chandelier,395
s__1072,wall_lamp,1256
s__1073,dining_table,110
s__1074,chair,443
s__1075,kitchen_cabinet,211
s__1076,hanging_kitchen_cabinet,95
s__1077,kitchen_cabinet,422
s__1078,kitchen_cabinet,194
s__1079,dining_table,64
s__1080,chair,320
s__1081,chandelier,232
s__1082,chandelier,210
s__1083,chair,347
s__1084,hanging_kitchen_cabinet,177
s__1085,hanging_kitchen_cabinet,142
s__1086,hanging_kitchen_cabinet,519
s__1087,chandelier,2284
s__1088,kitchen_cabinet,254
s__1089,sofa,161
s__1090,rug,1024
s__1091,candle,201
s__1092,ottoman,128
s__1093,armchair,240
s__1094,ottoman,168
s__1095,shelving,275
s__1096,dining_table,80
s__1097,sofa,263
s__1098,dining_table,52
s__1099,coffee_table,75
s__1100,coffee_table,68
s__1101,chair,915
s__1102,floor_lamp,41
s__1103,wall_lamp,133
s__1104,coffee_table,118
s__1105,wardrobe_cabinet,197
s__1106,coffee_table,197
s__1107,coffee_table,205
s__1108,wall_lamp,164
s__1109,table_lamp,216
s__1110,fireplace,251
s__1111,dresser,116
s__1112,sofa,185
s__1113,armchair,382
s__1114,chandelier,428
s__1115,table_lamp,261
s__1116,floor_lamp,106
s__1117,chair,121
s__1118,coffee_table,29
s__1119,dining_table,95
s__1120,dining_table,70
s__1121,chair,600
s__1122,coffee_table,39
s__1123,chair,201
s__1124,chair,172
s__1125,armchair,29
s__1126,sofa,134
s__1127,sofa,233
s__1128,candle,165
s__1129,ceiling_fan,123
s__1130,coffee_table,387
s__1131,bathtub,630
s__1132,sink,1154
s__1133,chair,290
s__1134,shelving,661
s__1135,coffee_table,212
s__1136,toilet,2662
s__1137,toy,1326
s__1138,toilet,864
s__1139,wall_lamp,817
s__1140,wall_lamp,726
s__1141,range_oven_with_hood,130
s__1142,kitchen_cabinet,149
s__1143,kitchen_cabinet,135
s__1144,kitchen_cabinet,133
s__1145,kitchen_cabinet,119
s__1146,kitchen_cabinet,166
s__1147,kitchen_cabinet,23
s__1148,kitchen_cabinet,202
s__1149,chair,138
s__1150,hanging_kitchen_cabinet,91
s__1151,hanging_kitchen_cabinet,43
s__1152,chandelier,323
s__1153,chandelier,115
s__1154,chandelier,150
s__1155,wall_lamp,116
s__1156,kitchen_cabinet,28
s__1157,kitchen_cabinet,213
s__1158,dresser,115
s__1159,coffee_table,41
s__1160,wall_lamp,52
s__1161,dining_table,117
s__1162,dresser,89
s__1163,chair,386
s__1164,chair,117
s__1165,mirror,873
s__1166,armchair,113
s__1167,coffee_table,76
s__1168,mirror,239
s__1169,coffee_table,187
s__1170,dining_table,194
s__1171,sofa,152
s__1172,armchair,301
s__1173,chair,86
s__1174,floor_lamp,134
s__1175,chair,100
s__1176,armchair,115
s__1177,sofa,90
s__1178,chandelier,322
s__1179,dining_table,36
s__1180,coffee_table,118
s__1183,bookshelf,63
s__1184,bookshelf,34
s__1185,bookshelf,9
s__1186,bookshelf,10
s__1187,bookshelf,2
s__1188,bookshelf,24
s__1189,bookshelf,25
s__1190,bookshelf,22
s__1192,bookshelf,11
s__1193,bookshelf,17
s__1195,bookshelf,90
s__1196,bookshelf,171
s__1197,bookshelf,61
s__1198,wardrobe_cabinet,5
s__1199,bookshelf,75
s__1200,bookshelf,20
s__1202,bookshelf,23
s__1203,bookshelf,11
s__1204,bookshelf,6
s__1205,bookshelf,30
s__1206,wardrobe_cabinet,21
s__1207,wardrobe_cabinet,61
s__1208,bookshelf,60
s__1209,bookshelf,43
s__1210,bookshelf,69
s__1211,shelving,39
s__1212,bookshelf,12
s__1213,bookshelf,55
s__1214,bookshelf,17
s__1215,bookshelf,1
s__1216,bookshelf,21
s__1217,wardrobe_cabinet,40
s__1218,wardrobe_cabinet,67
s__1219,wardrobe_cabinet,91
s__1220,wardrobe_cabinet,39
s__1221,wardrobe_cabinet,35
s__1222,desk,113
s__1223,shelving,28
s__1224,shelving,23
s__1225,desk,51
s__1226,shelving,27
s__1227,bookshelf,3
s__1228,bookshelf,6
s__1230,bookshelf,25
s__1231,bookshelf,40
s__1232,bookshelf,8
s__1234,bookshelf,21
s__1235,bookshelf,14
s__1237,bookshelf,24
s__1239,bookshelf,73
s__1240,bookshelf,59
s__1241,wardrobe_cabinet,183
s__1242,stand,55
s__1243,dressing_table,48
s__1244,dressing_table,91
s__1245,wardrobe_cabinet,11
s__1246,double_bed,11
s__1247,double_bed,7
s__1248,bathtub,144
s__1249,sink,170
s__1250,toilet,980
s__1251,toilet,412
s__1252,wardrobe_cabinet,185
s__1253,wardrobe_cabinet,219
s__1254,chair,360
s__1255,chandelier,643
s__1256,wall_lamp,201
s__1257,wall_lamp,465
s__1268,wall_lamp,411
s__1269,mirror,821
s__1270,sink,71
s__1271,wall_lamp,74
s__1272,mirror,316
s__1273,sink,64
s__1274,wall_lamp,82
s__1275,mirror,442
s__1276,window,6
s__1277,sink,16
s__1278,wall_lamp,69
s__1279,sink,65
s__1280,wall_lamp,287
s__1281,dresser,60
s__1282,wall_lamp,61
s__1283,sink,95
s__1284,bathtub,101
s__1285,shower,581
s__1286,sofa,152
s__1287,coffee_table,52
s__1288,armchair,27
s__1289,ottoman,97
s__1290,sofa,598
s__1291,vase,535
s__1292,chandelier,775
s__1293,mirror,274
s__1294,dresser,78
s__1295,dining_table,15
s__1296,floor_lamp,236
s__1297,table_lamp,203
s__1298,coffee_table,143
s__1299,wardrobe_cabinet,55
s__1300,shelving,55
s__1301,vase,694
s__1302,double_bed,127
s__1303,armchair,123
s__1304,desk,160
s__1305,chair,505
s__1306,table_lamp,138
s__1307,stand,289
s__1308,ottoman,387
s__1309,fireplace,244
s__1310,wall_lamp,163
s__1311,table_lamp,278
s__1312,mirror,189
s__1313,fireplace,207
s__1314,chair,51
s__1315,stand,74
s__1316,coffee_table,42
s__1317,coffee_table,60
s__1318,table_lamp,120
s__1319,bathtub,411
s__1320,sink,141
s__1321,toilet_paper,2553
s__1322,shower,540
s__1323,sink,263
s__1324,ottoman,91
s__1325,wall_lamp,229
s__1326,towel_hanger,820
s__1327,towel_hanger,1616
s__1328,mirror,234
s__1329,wall_lamp,275
s__1330,sofa,66
s__1331,ottoman,45
s__1332,coffee_table,38
s__1333,chandelier,357
s__1334,chair,5
s__1335,plant,118
s__1336,tv_stand,38
s__1337,armchair,258
s__1338,desk,58
s__1339,mirror,679
s__1340,armchair,234
s__1341,table_lamp,511
s__1342,table_lamp,79
s__1343,toy,671
s__1344,tricycle,194
s__1345,toy,86
s__1346,toy,111
s__1347,toy,775
s__1348,toy,132
s__1349,toy,166
s__1350,toy,126
s__1351,toy,153
s__1352,toy,125
s__1353,desk,8
s__1354,desk,3
s__1355,wardrobe_cabinet,4
s__1356,wardrobe_cabinet,6
s__1357,wardrobe_cabinet,20
s__1358,wardrobe_cabinet,11
s__1359,wardrobe_cabinet,9
s__1360,wardrobe_cabinet,9
s__1361,wardrobe_cabinet,12
s__1362,shelving,13
s__1363,desk,1
s__1364,desk,10
s__1365,desk,9
s__1366,desk,1
s__1367,desk,7
s__1368,tv_stand,6
s__1369,wardrobe_cabinet,2
s__1370,stand,1
s__1371,wardrobe_cabinet,1
s__1372,desk,2
s__1374,desk,1
s__1377,desk,1
s__1378,wardrobe_cabinet,2
s__1379,wardrobe_cabinet,1
s__1382,wardrobe_cabinet,1
s__1384,stand,3
s__1392,desk,1
s__1393,desk,3
s__1394,desk,2
s__1396,table,1
s__1398,wardrobe_cabinet,1
s__1399,wardrobe_cabinet,4
s__1400,bookshelf,4
s__1401,bookshelf,4
s__1402,bookshelf,2
s__1403,bookshelf,1
s__1404,wardrobe_cabinet,2
s__1405,wardrobe_cabinet,5
s__1406,wardrobe_cabinet,5
s__1407,wardrobe_cabinet,7
s__1408,wardrobe_cabinet,3
s__1410,shelving,3
s__1411,shelving,4
s__1412,shelving,2
s__1413,wardrobe_cabinet,4
s__1414,wardrobe_cabinet,2
s__1415,stand,2
s__1416,stand,4
s__1418,desk,1
s__1419,desk,6
s__1422,desk,1
s__1423,desk,2
s__1426,desk,1
s__1427,desk,1
s__1428,desk,1
s__1429,desk,2
s__1431,table,4
s__1432,table,1
s__1433,table,3
s__1434,toy,5
s__1435,shelving,1
s__1438,table,1
s__1439,table,1
s__1443,stand,1
s__1445,bookshelf,1
s__1446,wardrobe_cabinet,3
s__1448,bookshelf,1
s__1452,desk,20
s__1461,desk,2
s__1462,toy,1
s__1465,wardrobe_cabinet,1
s__1467,wardrobe_cabinet,2
s__1473,desk,2
s__1474,desk,1
s__1476,desk,1
s__1486,stand,1
s__1487,shelving,1
s__1490,partition,37
s__1491,partition,39
s__1492,partition,12
s__1493,wardrobe_cabinet,42
s__1494,stand,49
s__1495,desk,5
s__1496,desk,27
s__1497,wardrobe_cabinet,48
s__1498,wardrobe_cabinet,5
s__1499,desk,27
s__1500,wood_board,1
s__1501,double_bed,30
s__1502,double_bed,9
s__1503,single_bed,36
s__1504,office_chair,18
s__1505,chair,39
s__1506,chair,24
s__1507,office_chair,2
s__1508,office_chair,1
s__1509,wardrobe_cabinet,11
s__1510,desk,7
s__1511,wardrobe_cabinet,6
s__1512,wardrobe_cabinet,5
s__1513,wardrobe_cabinet,12
s__1514,bookshelf,6
s__1515,stand,9
s__1516,desk,8
s__1517,tv_stand,8
s__1518,shelving,3
s__1519,office_chair,2
s__1520,office_chair,3
s__1521,office_chair,9
s__1522,office_chair,12
s__1523,office_chair,11
s__1524,office_chair,2
s__1525,office_chair,14
s__1526,office_chair,1
s__1527,office_chair,12
s__1528,office_chair,3
s__1529,office_chair,9
s__1531,office_chair,2
s__1532,office_chair,6
s__1533,office_chair,1
s__1534,office_chair,6
s__1535,office_chair,8
s__1536,office_chair,3
s__1537,office_chair,14
s__1539,office_chair,25
s__1540,toy,112
s__1541,plant,2504
s__1542,outdoor_lamp,966
s__1543,plant,853
s__1544,mirror,382
s__1545,grill,177
s__1546,coffee_table,111
s__1547,chair,98
s__1548,kitchen_cabinet,76
s__1549,clock,538
s__1550,armchair,173
s__1551,coffee_table,98
s__1552,sink,508
s__1553,bathtub,212
s__1554,trash_can,84
s__1555,shower,502
s__1556,mirror,850
s__1557,chandelier,209
s__1558,wall_lamp,122
s__1559,mirror,309
s__1560,toy,82
s__1561,ottoman,273
s__1562,double_bed,412
s__1563,pet,113
s__1631,pet,116
s__1632,pet,179
s__1633,pet,83
s__1634,pet,164
s__1635,pet,38
s__1636,pet,6
s__1637,pet,13
s__1638,pet,90
s__1639,fishbowl,130
s__1640,pet,100
s__1641,clock,323
s__1642,clock,292
s__1643,clock,114
s__1644,toy,169
s__1645,gramophone,115
s__1646,toy,225
s__1647,rug,2066
s__1648,telephone,385
s__1649,rifle_on_wall,144
s__1650,pillow,2172
s__1651,pillow,2374
s__1652,pillow,1187
s__1653,pillow,892
s__1654,pillow,7010
s__1655,toy,323
s__1656,toy,424
s__1657,toy,215
s__1658,toy,337
s__1659,toy,968
s__1660,cup,318
s__1661,toy,213
s__1662,toy,122
s__1663,toy,300
s__1664,dresser,89
s__1665,armchair,209
s__1666,armchair,101
s__1667,dining_table,162
s__1668,armchair,266
s__1669,coffee_table,234
s__1670,fireplace,119
s__1671,dresser,68
s__1672,sofa,134
s__1673,ottoman,136
s__1674,sofa,151
s__1675,floor_lamp,77
s__1676,chandelier,608
s__1677,table_lamp,160
s__1678,table_lamp,195
s__1679,chair,367
s__1680,toilet,539
s__1681,toilet,146
s__1682,toilet,39
s__1683,stand,148
s__1684,toilet,554
s__1685,sink,139
s__1686,sink,190
s__1687,mirror,268
s__1688,mirror,198
s__1689,sink,172
s__1690,sink,324
s__1691,sink,181
s__1692,sink,142
s__1693,bathtub,465
s__1694,bathtub,365
s__1695,bathtub,82
s__1696,bathtub,217
s__1697,bathtub,133
s__1698,table_lamp,184
s__1699,chandelier,752
s__1700,armchair,54
s__1701,chair,178
s__1702,dining_table,63
s__1703,chandelier,632
s__1704,double_bed,206
s__1705,chair,118
s__1706,wardrobe_cabinet,31
s__1707,chandelier,328
s__1708,chandelier,156
s__1709,floor_lamp,345
s__1710,chair,767
s__1711,chair,206
s__1712,chair,575
s__1713,dresser,116
s__1714,double_bed,101
s__1715,chair,227
s__1716,dining_table,119
s__1717,chair,186
s__1718,dining_table,45
s__1719,floor_lamp,220
s__1720,coffee_table,187
s__1721,table_lamp,110
s__1722,car,545
s__1723,car,703
s__1724,car,615
s__1725,car,634
s__1726,wardrobe_cabinet,14
s__1727,wardrobe_cabinet,1
s__1728,stand,11
s__1730,wardrobe_cabinet,1
s__1732,dresser,8
s__1735,wardrobe_cabinet,6
s__1736,stand,7
s__1737,wardrobe_cabinet,4
s__1738,dresser,3
s__1739,kitchen_cabinet,5
s__1741,dining_table,1
s__1742,game_table,4
