日期,省份,确诊人数,治愈人数,死亡人数,新增确诊,新增治愈,新增死亡,现有确诊
2020/2/2,广东,725,19,0,93,6,0,706
2020/2/3,广东,797,20,0,72,1,0,777
2020/2/4,广东,870,32,0,73,12,0,838
2020/2/5,广东,944,49,0,74,17,0,895
2020/2/6,广东,1034,88,1,90,39,1,945
2020/2/7,广东,1075,97,1,41,9,0,977
2020/2/8,广东,1120,127,1,45,30,0,992
2020/2/9,广东,1159,163,1,39,36,0,995
2020/2/10,广东,1177,181,1,18,18,0,995
2020/2/11,广东,1219,241,1,42,60,0,977
2020/2/12,广东,1241,284,2,22,43,1,955
2020/2/13,广东,1261,332,2,20,48,0,927
2020/2/14,广东,1294,386,2,33,54,0,906
2020/1/21,广西,2,0,0,0,0,0,2
2020/1/22,广西,5,0,0,3,0,0,5
2020/1/23,广西,13,0,0,8,0,0,13
2020/1/24,广西,23,0,0,10,0,0,23
2020/1/25,广西,33,0,0,10,0,0,33
2020/1/26,广西,46,0,0,13,0,0,46
2020/1/27,广西,51,2,0,5,2,0,49
2020/1/28,广西,58,2,0,7,0,0,56
2020/1/29,广西,78,2,0,20,0,0,76
2020/1/30,广西,87,2,0,9,0,0,85
2020/1/31,广西,100,2,0,13,0,0,98
2020/2/1,广西,111,2,0,11,0,0,109
2020/2/2,广西,127,7,0,16,5,0,120
2020/2/3,广西,139,7,0,12,0,0,132
2020/2/4,广西,150,10,0,11,3,0,140
2020/2/5,广西,168,14,0,18,4,0,154
2020/2/6,广西,172,17,0,4,3,0,155
2020/2/7,广西,183,17,0,11,0,0,166
2020/2/8,广西,195,18,1,12,1,1,176
2020/2/9,广西,210,18,1,15,0,0,191
2020/2/10,广西,215,30,1,5,12,0,184
2020/2/11,广西,222,31,1,7,1,0,190
2020/2/12,广西,222,33,2,0,2,1,187
2020/2/13,广西,226,35,2,4,2,0,189
2020/2/14,广西,235,40,2,9,5,0,193
2020/1/21,贵州,1,0,0,0,0,0,1
2020/1/22,贵州,3,0,0,2,0,0,3
2020/1/23,贵州,3,0,0,0,0,0,3
2020/1/24,贵州,4,0,0,1,0,0,4
2020/1/25,贵州,5,0,0,1,0,0,5
2020/1/26,贵州,7,0,0,2,0,0,7
2020/1/27,贵州,9,0,0,2,0,0,9
2020/1/28,贵州,9,1,0,0,1,0,8
2020/1/29,贵州,12,1,0,3,0,0,11
2020/1/30,贵州,29,2,0,17,1,0,27
2020/1/31,贵州,29,2,0,0,0,0,27
2020/2/1,贵州,38,2,0,9,0,0,36
2020/2/2,贵州,46,2,0,8,0,0,44
2020/2/3,贵州,56,2,0,10,0,0,54
2020/2/4,贵州,64,5,0,8,3,0,59
2020/2/5,贵州,69,6,1,5,1,1,62
2020/2/6,贵州,83,6,1,14,0,0,76
2020/2/7,贵州,89,6,1,6,0,0,82
2020/2/8,贵州,96,7,1,7,1,0,88
2020/2/9,贵州,109,7,1,13,0,0,101
2020/2/10,贵州,127,13,1,18,6,0,113
2020/2/11,贵州,131,17,1,4,4,0,113
2020/2/12,贵州,135,20,1,4,3,0,114
2020/2/13,贵州,140,28,1,5,8,0,111
2020/2/14,贵州,143,33,1,3,5,0,109
2020/1/21,海南,4,0,0,0,0,0,4
2020/1/22,海南,5,0,0,1,0,0,5
2020/1/23,海南,8,0,0,3,0,0,8
2020/1/24,海南,19,0,0,11,0,0,19
2020/1/25,海南,22,0,0,3,0,0,22
2020/1/26,海南,33,0,1,11,0,1,32
2020/1/27,海南,40,0,1,7,0,0,39
2020/1/28,海南,43,1,1,3,1,0,41
2020/1/29,海南,46,1,1,3,0,0,44
2020/1/30,海南,52,1,1,6,0,0,50
2020/1/31,海南,62,1,1,10,0,0,60
2020/2/1,海南,64,4,1,2,3,0,59
2020/2/2,海南,71,4,1,7,0,0,66
2020/2/3,海南,79,4,1,8,0,0,74
2020/2/4,海南,80,5,1,1,1,0,74
2020/2/5,海南,105,5,1,25,0,0,99
2020/2/6,海南,117,10,2,12,5,1,105
2020/2/7,海南,124,11,2,7,1,0,111
2020/2/8,海南,128,15,3,4,4,1,110
2020/2/9,海南,138,19,3,10,4,0,116
2020/2/10,海南,142,19,3,4,0,0,120
2020/2/11,海南,151,20,3,9,1,0,128
2020/2/12,海南,157,27,4,6,7,1,126
2020/2/13,海南,158,30,4,1,3,0,124
2020/2/14,海南,162,38,4,4,8,0,120
2020/1/21,河北,1,0,0,0,0,0,1
2020/1/22,河北,1,0,0,0,0,0,1
2020/1/23,河北,2,0,1,1,0,1,1
2020/1/24,河北,8,0,1,6,0,0,7
2020/1/25,河北,13,0,1,5,0,0,12
2020/1/26,河北,18,0,1,5,0,0,17
2020/1/27,河北,33,0,1,15,0,0,32
2020/1/28,河北,48,0,1,15,0,0,47
2020/1/29,河北,65,0,1,17,0,0,64
2020/1/30,河北,82,0,1,17,0,0,81
2020/1/31,河北,96,0,1,14,0,0,95
2020/2/1,河北,104,3,1,8,3,0,100
2020/2/2,河北,113,3,1,9,0,0,109
2020/2/3,河北,126,3,1,13,0,0,122
2020/2/4,河北,135,4,1,9,1,0,130
2020/2/5,河北,157,7,1,22,3,0,149
2020/2/6,河北,172,16,1,15,9,0,155
2020/2/7,河北,195,25,1,23,9,0,169
2020/2/8,河北,206,30,2,11,5,1,174
2020/2/9,河北,218,35,2,12,5,0,181
2020/2/10,河北,239,41,2,21,6,0,196
2020/2/11,河北,251,48,2,12,7,0,201
2020/2/12,河北,265,54,3,14,6,1,208
2020/2/13,河北,283,69,3,18,15,0,211
2020/2/14,河北,291,86,3,8,17,0,202
2020/1/21,河南,5,0,0,0,0,0,5
2020/1/22,河南,5,0,0,0,0,0,5
2020/1/23,河南,9,0,0,4,0,0,9
2020/1/24,河南,32,0,0,23,0,0,32
2020/1/25,河南,83,0,1,51,0,1,82
2020/1/26,河南,128,0,1,45,0,0,127
2020/1/27,河南,168,0,1,40,0,0,167
2020/1/28,河南,206,0,2,38,0,1,204
2020/1/29,河南,278,2,2,72,2,0,274
2020/1/30,河南,352,3,2,74,1,0,347
2020/1/31,河南,422,3,2,70,0,0,417
2020/2/1,河南,493,12,2,71,9,0,479
2020/2/2,河南,566,15,2,73,3,0,549
2020/2/3,河南,675,20,2,109,5,0,653
2020/2/4,河南,764,41,2,89,21,0,721
2020/2/5,河南,851,49,2,87,8,0,800
2020/2/6,河南,914,84,3,63,35,1,827
2020/2/7,河南,981,97,4,67,13,1,880
2020/2/8,河南,1033,131,6,52,34,2,896
2020/2/9,河南,1073,181,6,40,50,0,886
2020/2/10,河南,1105,198,7,32,17,1,900
2020/2/11,河南,1135,231,8,30,33,1,896
2020/2/12,河南,1169,258,10,34,27,2,901
2020/2/13,河南,1184,313,11,15,55,1,860
2020/2/14,河南,1212,356,13,28,43,2,843
2020/1/21,黑龙江,0,0,0,0,0,0,0
2020/1/22,黑龙江,2,0,0,2,0,0,2
2020/1/23,黑龙江,4,0,1,2,0,1,3
2020/1/24,黑龙江,9,0,1,5,0,0,8
2020/1/25,黑龙江,15,0,1,6,0,0,14
2020/1/26,黑龙江,21,0,1,6,0,0,20
2020/1/27,黑龙江,30,0,1,9,0,0,29
2020/1/28,黑龙江,38,0,1,8,0,0,37
2020/1/29,黑龙江,44,0,2,6,0,1,42
2020/1/30,黑龙江,59,0,2,15,0,0,57
2020/1/31,黑龙江,80,0,2,21,0,0,78
2020/2/1,黑龙江,95,2,2,15,2,0,91
2020/2/2,黑龙江,121,2,2,26,0,0,117
2020/2/3,黑龙江,155,2,2,34,0,0,151
2020/2/4,黑龙江,190,4,2,35,2,0,184
2020/2/5,黑龙江,227,7,3,37,3,1,217
2020/2/6,黑龙江,277,12,3,50,5,0,262
2020/2/7,黑龙江,295,12,5,18,0,2,278
2020/2/8,黑龙江,307,14,6,12,2,1,287
2020/2/9,黑龙江,331,15,7,24,1,1,309
2020/2/10,黑龙江,360,27,8,29,12,1,325
2020/2/11,黑龙江,378,28,8,18,1,0,342
2020/2/12,黑龙江,395,31,9,17,3,1,355
2020/2/13,黑龙江,418,37,11,23,6,2,370
2020/2/14,黑龙江,425,48,11,7,11,0,366
2020/1/21,湖北,444,0,17,0,0,0,427
2020/1/22,湖北,444,28,17,0,28,0,399
2020/1/23,湖北,529,31,24,85,3,7,474
2020/1/24,湖北,730,32,39,201,1,15,659
2020/1/25,湖北,1052,42,52,322,10,13,958
2020/1/26,湖北,1423,44,76,371,2,24,1303
2020/1/27,湖北,2714,47,100,1291,3,24,2567
2020/1/28,湖北,3554,80,125,840,33,25,3349
2020/1/29,湖北,4903,90,162,1349,10,37,4651
2020/1/30,湖北,5806,116,204,903,26,42,5486
2020/1/31,湖北,7153,166,249,1347,50,45,6738
2020/2/1,湖北,9074,215,294,1921,49,45,8565
2020/2/2,湖北,11177,297,350,2103,82,56,10530
2020/2/3,湖北,13522,396,414,2345,99,64,12712
2020/2/4,湖北,16678,520,479,3156,124,65,15679
2020/2/5,湖北,19665,633,549,2987,113,70,18483
2020/2/6,湖北,22112,817,618,2447,184,69,20677
2020/2/7,湖北,24953,1115,699,2841,298,81,23139
2020/2/8,湖北,27100,1439,780,2147,324,81,24881
2020/2/9,湖北,29631,1795,871,2531,356,91,26965
2020/2/10,湖北,31728,2222,974,2097,427,103,28532
2020/2/11,湖北,33366,2639,1068,1638,417,94,29659
2020/2/12,湖北,47163,3172,1202,13797,533,134,42789
2020/2/13,湖北,51986,3862,1318,4823,690,116,46806
2020/2/14,湖北,54406,4774,1457,2420,912,139,48175
2020/1/21,湖南,4,0,0,0,0,0,4
2020/1/22,湖南,9,0,0,5,0,0,9
2020/1/23,湖南,24,0,0,15,0,0,24
2020/1/24,湖南,43,0,0,19,0,0,43
2020/1/25,湖南,69,0,0,26,0,0,69
2020/1/26,湖南,100,0,0,31,0,0,100
2020/1/27,湖南,143,0,0,43,0,0,143
2020/1/28,湖南,221,0,0,78,0,0,221
2020/1/29,湖南,277,2,0,56,2,0,275
2020/1/30,湖南,332,2,0,55,0,0,330
2020/1/31,湖南,389,5,0,57,3,0,384
2020/2/1,湖南,463,12,0,74,7,0,451
2020/2/2,湖南,521,21,0,58,9,0,500
2020/2/3,湖南,593,22,0,72,1,0,571
2020/2/4,湖南,661,35,0,68,13,0,626
2020/2/5,湖南,711,56,0,50,21,0,655
2020/2/6,湖南,772,112,0,61,56,0,660
2020/2/7,湖南,803,119,0,31,7,0,684
2020/2/8,湖南,838,159,1,35,40,1,678
2020/2/9,湖南,879,204,1,41,45,0,674
2020/2/10,湖南,912,213,1,33,9,0,698
2020/2/11,湖南,946,263,2,34,50,1,681
2020/2/12,湖南,968,312,2,22,49,0,654
2020/2/13,湖南,988,352,2,20,40,0,634
2020/2/14,湖南,1001,389,2,13,37,0,610
2020/1/21,吉林,0,0,0,0,0,0,0
2020/1/22,吉林,1,0,0,1,0,0,1
2020/1/23,吉林,3,0,0,2,0,0,3
2020/1/24,吉林,4,0,0,1,0,0,4
2020/1/25,吉林,4,0,0,0,0,0,4
2020/1/26,吉林,6,0,0,2,0,0,6
2020/1/27,吉林,8,0,0,2,0,0,8
2020/1/28,吉林,9,0,0,1,0,0,9
2020/1/29,吉林,14,1,0,5,1,0,13
2020/1/30,吉林,14,1,0,0,0,0,13
2020/1/31,吉林,17,1,0,3,0,0,16
2020/2/1,吉林,23,1,0,6,0,0,22
2020/2/2,吉林,31,1,0,8,0,0,30
2020/2/3,吉林,42,1,0,11,0,0,41
2020/2/4,吉林,54,1,0,12,0,0,53
2020/2/5,吉林,59,2,0,5,1,0,57
2020/2/6,吉林,65,4,1,6,2,1,60
2020/2/7,吉林,69,4,1,4,0,0,64
2020/2/8,吉林,78,5,1,9,1,0,72
2020/2/9,吉林,80,12,1,2,7,0,67
2020/2/10,吉林,81,13,1,1,1,0,67
2020/2/11,吉林,83,18,1,2,5,0,64
2020/2/12,吉林,84,22,1,1,4,0,61
2020/2/13,吉林,86,25,1,2,3,0,60
2020/2/14,吉林,88,25,1,2,0,0,62
2020/1/21,江苏,0,0,0,0,0,0,0
2020/1/22,江苏,5,0,0,5,0,0,5
2020/1/23,江苏,9,0,0,4,0,0,9
2020/1/24,江苏,18,1,0,9,1,0,17
2020/1/25,江苏,31,1,0,13,0,0,30
2020/1/26,江苏,47,1,0,16,0,0,46
2020/1/27,江苏,70,1,0,23,0,0,69
2020/1/28,江苏,99,1,0,29,0,0,98
2020/1/29,江苏,129,1,0,30,0,0,128
2020/1/30,江苏,168,5,0,39,4,0,163
2020/1/31,江苏,202,6,0,34,1,0,196
2020/2/1,江苏,236,7,0,34,1,0,229
2020/2/2,江苏,271,7,0,35,0,0,264
2020/2/3,江苏,308,8,0,37,1,0,300
2020/2/4,江苏,341,13,0,33,5,0,328
2020/2/5,江苏,373,26,0,32,13,0,347
2020/2/6,江苏,408,43,0,35,17,0,365
2020/2/7,江苏,439,43,0,31,0,0,396
2020/2/8,江苏,468,70,0,29,27,0,398
2020/2/9,江苏,492,80,0,24,10,0,412
2020/2/10,江苏,515,84,0,23,4,0,431
2020/2/11,江苏,543,94,0,28,10,0,449
2020/2/12,江苏,570,131,0,27,37,0,439
2020/2/13,江苏,593,137,0,23,6,0,456
2020/2/14,江苏,604,160,0,11,23,0,444
2020/1/21,江西,2,0,0,0,0,0,2
2020/1/22,江西,3,0,0,1,0,0,3
2020/1/23,江西,7,0,0,4,0,0,7
2020/1/24,江西,18,0,0,11,0,0,18
2020/1/25,江西,36,0,0,18,0,0,36
2020/1/26,江西,48,0,0,12,0,0,48
2020/1/27,江西,72,3,0,24,3,0,69
2020/1/28,江西,109,3,0,37,0,0,106
2020/1/29,江西,162,3,0,53,0,0,159
2020/1/30,江西,240,6,0,78,3,0,234
2020/1/31,江西,286,8,0,46,2,0,278
2020/2/1,江西,333,9,0,47,1,0,324
2020/2/2,江西,391,18,0,58,9,0,373
2020/2/3,江西,476,19,0,85,1,0,457
2020/2/4,江西,548,27,0,72,8,0,521
2020/2/5,江西,600,37,0,52,10,0,563
2020/2/6,江西,661,45,0,61,8,0,616
2020/2/7,江西,698,55,0,37,10,0,643
2020/2/8,江西,740,72,0,42,17,0,668
2020/2/9,江西,771,102,1,31,30,1,668
2020/2/10,江西,804,127,1,33,25,0,676
2020/2/11,江西,844,152,1,40,25,0,691
2020/2/12,江西,872,170,1,28,18,0,701
2020/2/13,江西,900,187,1,28,17,0,712
2020/2/14,江西,913,210,1,13,23,0,702
2020/1/21,辽宁,2,0,0,0,0,0,2
2020/1/22,辽宁,3,0,0,1,0,0,3
2020/1/23,辽宁,4,0,0,1,0,0,4
2020/1/24,辽宁,16,0,0,12,0,0,16
2020/1/25,辽宁,19,0,0,3,0,0,19
2020/1/26,辽宁,27,0,0,8,0,0,27
2020/1/27,辽宁,34,0,0,7,0,0,34
2020/1/28,辽宁,39,1,0,5,1,0,38
2020/1/29,辽宁,41,1,0,2,0,0,40
2020/1/30,辽宁,48,1,0,7,0,0,47
2020/1/31,辽宁,64,1,0,16,0,0,63
2020/2/1,辽宁,70,1,0,6,0,0,69
2020/2/2,辽宁,73,1,0,3,0,0,72
2020/2/3,辽宁,74,1,0,1,0,0,73
2020/2/4,辽宁,81,2,0,7,1,0,79
2020/2/5,辽宁,89,4,0,8,2,0,85
2020/2/6,辽宁,96,7,0,7,3,0,89
2020/2/7,辽宁,99,7,0,3,0,0,92
2020/2/8,辽宁,105,8,0,6,1,0,97
2020/2/9,辽宁,108,13,0,3,5,0,95
2020/2/10,辽宁,111,18,0,3,5,0,93
2020/2/11,辽宁,116,19,0,5,1,0,97
2020/2/12,辽宁,116,20,1,0,1,1,95
2020/2/13,辽宁,117,24,1,1,4,0,92
2020/2/14,辽宁,119,29,1,2,5,0,89
2020/1/21,内蒙古,0,0,0,0,0,0,0
2020/1/22,内蒙古,0,0,0,0,0,0,0
2020/1/23,内蒙古,2,0,0,2,0,0,2
2020/1/24,内蒙古,7,0,0,5,0,0,7
2020/1/25,内蒙古,7,0,0,0,0,0,7
2020/1/26,内蒙古,11,0,0,4,0,0,11
2020/1/27,内蒙古,15,0,0,4,0,0,15
2020/1/28,内蒙古,16,0,0,1,0,0,16
2020/1/29,内蒙古,18,0,0,2,0,0,18
2020/1/30,内蒙古,20,1,0,2,1,0,19
2020/1/31,内蒙古,23,1,0,3,0,0,22
2020/2/1,内蒙古,27,1,0,4,0,0,26
2020/2/2,内蒙古,34,1,0,7,0,0,33
2020/2/3,内蒙古,34,1,0,0,0,0,33
2020/2/4,内蒙古,42,1,0,8,0,0,41
2020/2/5,内蒙古,46,4,0,4,3,0,42
2020/2/6,内蒙古,50,4,0,4,0,0,46
2020/2/7,内蒙古,52,5,0,2,1,0,47
2020/2/8,内蒙古,54,5,0,2,0,0,49
2020/2/9,内蒙古,58,5,0,4,0,0,53
2020/2/10,内蒙古,58,5,0,0,0,0,53
2020/2/11,内蒙古,60,5,0,2,0,0,55
2020/2/12,内蒙古,61,6,0,1,1,0,55
2020/2/13,内蒙古,65,6,0,4,0,0,59
2020/2/14,内蒙古,68,6,0,3,0,0,62
2020/1/21,宁夏,1,0,0,0,0,0,1
2020/1/22,宁夏,1,0,0,0,0,0,1
2020/1/23,宁夏,2,0,0,1,0,0,2
2020/1/24,宁夏,3,0,0,1,0,0,3
2020/1/25,宁夏,4,0,0,1,0,0,4
2020/1/26,宁夏,7,0,0,3,0,0,7
2020/1/27,宁夏,11,0,0,4,0,0,11
2020/1/28,宁夏,12,0,0,1,0,0,12
2020/1/29,宁夏,17,0,0,5,0,0,17
2020/1/30,宁夏,21,0,0,4,0,0,21
2020/1/31,宁夏,26,0,0,5,0,0,26
2020/2/1,宁夏,28,0,0,2,0,0,28
2020/2/2,宁夏,31,1,0,3,1,0,30
2020/2/3,宁夏,34,1,0,3,0,0,33
2020/2/4,宁夏,34,1,0,0,0,0,33
2020/2/5,宁夏,40,1,0,6,0,0,39
2020/2/6,宁夏,43,5,0,3,4,0,38
2020/2/7,宁夏,45,5,0,2,0,0,40
2020/2/8,宁夏,45,13,0,0,8,0,32
2020/2/9,宁夏,49,13,0,4,0,0,36
2020/2/10,宁夏,53,14,0,4,1,0,39
2020/2/11,宁夏,58,22,0,5,8,0,36
2020/2/12,宁夏,64,24,0,6,2,0,40
2020/2/13,宁夏,67,24,0,3,0,0,43
2020/2/14,宁夏,70,27,0,3,3,0,43
2020/1/21,青海,0,0,0,0,0,0,0
2020/1/22,青海,0,0,0,0,0,0,0
2020/1/23,青海,0,0,0,0,0,0,0
2020/1/24,青海,1,0,0,1,0,0,1
2020/1/25,青海,1,0,0,0,0,0,1
2020/1/26,青海,6,0,0,5,0,0,6
2020/1/27,青海,6,0,0,0,0,0,6
2020/1/28,青海,7,0,0,1,0,0,7
2020/1/29,青海,8,0,0,1,0,0,8
2020/1/30,青海,8,0,0,0,0,0,8
2020/1/31,青海,9,0,0,1,0,0,9
2020/2/1,青海,11,0,0,2,0,0,11
2020/2/2,青海,13,0,0,2,0,0,13
2020/2/3,青海,15,0,0,2,0,0,15
2020/2/4,青海,17,0,0,2,0,0,17
2020/2/5,青海,18,3,0,1,3,0,15
2020/2/6,青海,18,3,0,0,0,0,15
2020/2/7,青海,18,3,0,0,0,0,15
2020/2/8,青海,18,3,0,0,0,0,15
2020/2/9,青海,18,3,0,0,0,0,15
2020/2/10,青海,18,3,0,0,0,0,15
2020/2/11,青海,18,5,0,0,2,0,13
2020/2/12,青海,18,9,0,0,4,0,9
2020/2/13,青海,18,11,0,0,2,0,7
2020/2/14,青海,18,11,0,0,0,0,7
2020/1/21,山东,2,0,0,0,0,0,2
2020/1/22,山东,6,0,0,4,0,0,6
2020/1/23,山东,15,0,0,9,0,0,15
2020/1/24,山东,27,0,0,12,0,0,27
2020/1/25,山东,39,0,0,12,0,0,39
2020/1/26,山东,75,1,0,36,1,0,74
2020/1/27,山东,95,1,0,20,0,0,94
2020/1/28,山东,130,1,0,35,0,0,129
2020/1/29,山东,158,1,0,28,0,0,157
2020/1/30,山东,184,2,0,26,1,0,182
2020/1/31,山东,206,3,0,22,1,0,203
2020/2/1,山东,230,5,0,24,2,0,225
2020/2/2,山东,259,7,0,29,2,0,252
2020/2/3,山东,270,7,0,11,0,0,263
2020/2/4,山东,298,13,0,28,6,0,285
2020/2/5,山东,343,18,0,45,5,0,325
2020/2/6,山东,379,37,0,36,19,0,342
2020/2/7,山东,407,38,0,28,1,0,369
2020/2/8,山东,435,50,1,28,12,1,384
2020/2/9,山东,459,63,1,24,13,0,395
2020/2/10,山东,487,75,1,28,12,0,411
2020/2/11,山东,497,80,1,10,5,0,416
2020/2/12,山东,506,98,2,9,18,1,406
2020/2/13,山东,519,111,2,13,13,0,406
2020/2/14,山东,530,139,2,11,28,0,389
2020/1/21,山西,1,0,0,0,0,0,1
2020/1/22,山西,1,0,0,0,0,0,1
2020/1/23,山西,1,0,0,0,0,0,1
2020/1/24,山西,6,0,0,5,0,0,6
2020/1/25,山西,9,0,0,3,0,0,9
