日期,地区,确诊人数,治愈人数,死亡人数,新增确诊,新增治愈,新增死亡,现有确诊,扩散指数
2020/1/29,黄石,113,0,1,27,0,0,112,0.317647059
2020/1/30,黄石,168,0,1,55,0,0,167,0.491071429
2020/1/31,黄石,209,0,2,41,0,1,207,0.245508982
2020/2/1,黄石,252,1,2,43,1,0,249,0.207729469
2020/2/2,黄石,334,9,2,82,8,0,323,0.329317269
2020/2/3,黄石,405,10,2,71,1,0,393,0.219814241
2020/2/4,黄石,509,18,2,104,8,0,489,0.264631043
2020/2/5,黄石,566,25,2,57,7,0,539,0.116564417
2020/2/6,黄石,635,31,2,69,6,0,602,0.128014842
2020/2/7,黄石,703,43,2,68,12,0,658,0.112956811
2020/2/8,黄石,760,53,2,57,10,0,705,0.08662614
2020/2/9,黄石,805,67,3,45,14,1,735,0.063829787
2020/2/10,黄石,835,82,5,30,15,2,748,0.040816327
2020/2/11,黄石,874,96,6,39,14,1,772,0.052139037
2020/2/12,黄石,911,113,9,37,17,3,789,0.047927461
2020/2/13,黄石,943,137,11,32,24,2,795,0.040557668
2020/2/14,黄石,980,170,13,37,33,2,797,0.046540881
2020/2/15,黄石,983,192,14,3,22,1,777,0.003764115
2020/2/16,黄石,983,206,15,0,14,1,762,0
2020/2/17,黄石,983,215,20,0,9,5,748,0
2020/2/18,黄石,983,262,25,0,47,5,696,0
2020/2/19,黄石,985,299,26,2,37,1,660,0.002873563
2020/2/20,黄石,992,339,27,7,40,1,626,0.010606061
2020/2/21,黄石,997,391,28,5,52,1,578,0.00798722
2020/1/21,荆门,0,0,0,0,0,0,0,0
2020/1/22,荆门,1,0,0,1,0,0,1,0
2020/1/23,荆门,8,0,0,7,0,0,8,7
2020/1/24,荆门,21,0,0,13,0,0,21,1.625
2020/1/25,荆门,38,0,1,17,0,1,37,0.80952381
2020/1/26,荆门,90,0,3,52,0,2,87,1.405405405
2020/1/27,荆门,114,0,3,24,0,0,111,0.275862069
2020/1/28,荆门,142,0,4,28,0,1,138,0.252252252
2020/1/29,荆门,191,0,4,49,0,0,187,0.355072464
2020/1/30,荆门,227,0,5,36,0,1,222,0.192513369
2020/1/31,荆门,251,1,5,24,1,0,245,0.108108108
2020/2/1,荆门,329,3,7,78,2,2,319,0.318367347
2020/2/2,荆门,345,6,11,16,3,4,328,0.05015674
2020/2/3,荆门,400,6,14,55,0,3,380,0.167682927
2020/2/4,荆门,422,16,16,22,10,2,390,0.057894737
2020/2/5,荆门,508,21,17,86,5,1,470,0.220512821
2020/2/6,荆门,553,24,17,45,3,0,512,0.095744681
2020/2/7,荆门,588,36,18,35,12,1,534,0.068359375
2020/2/8,荆门,629,48,19,41,12,1,562,0.076779026
2020/2/9,荆门,641,63,20,12,15,1,558,0.021352313
2020/2/10,荆门,656,69,21,15,6,1,566,0.02688172
2020/2/11,荆门,696,81,24,40,12,3,591,0.070671378
2020/2/12,荆门,860,92,24,164,11,0,744,0.27749577
2020/2/13,荆门,881,105,25,21,13,1,751,0.028225806
2020/2/14,荆门,887,112,28,6,7,3,747,0.007989348
2020/2/15,荆门,894,117,30,7,5,2,747,0.009370817
2020/2/16,荆门,900,132,33,6,15,3,735,0.008032129
2020/2/17,荆门,900,143,33,0,11,0,724,0
2020/2/18,荆门,901,181,33,1,38,0,687,0.001381215
2020/2/19,荆门,906,201,34,5,20,1,671,0.00727802
2020/2/20,荆门,912,229,37,6,28,3,646,0.008941878
2020/2/21,荆门,914,296,37,2,67,0,581,0.003095975
2020/1/21,荆州,0,0,0,0,0,0,0,0
2020/1/22,荆州,6,0,0,6,0,0,6,0
2020/1/23,荆州,8,0,0,2,0,0,8,0.333333333
2020/1/24,荆州,10,0,0,2,0,0,10,0.25
2020/1/25,荆州,33,0,2,23,0,2,31,2.3
2020/1/26,荆州,47,0,2,14,0,0,45,0.451612903
2020/1/27,荆州,71,0,2,24,0,0,69,0.533333333
2020/1/28,荆州,101,0,2,30,0,0,99,0.434782609
2020/1/29,荆州,151,0,3,50,0,1,148,0.505050505
2020/1/30,荆州,221,0,3,70,0,0,218,0.472972973
2020/1/31,荆州,287,1,4,66,1,1,282,0.302752294
2020/2/1,荆州,333,1,4,46,0,0,328,0.163120567
2020/2/2,荆州,499,3,6,166,2,2,490,0.506097561
2020/2/3,荆州,613,6,7,114,3,1,600,0.232653061
2020/2/4,荆州,713,9,9,100,3,2,695,0.166666667
2020/2/5,荆州,801,18,10,88,9,1,773,0.126618705
2020/2/6,荆州,885,22,10,84,4,0,853,0.108667529
2020/2/7,荆州,941,29,11,56,7,1,901,0.065650645
2020/2/8,荆州,997,33,13,56,4,2,951,0.062153163
2020/2/9,荆州,1045,45,15,48,12,2,985,0.050473186
2020/2/10,荆州,1075,55,17,30,10,2,1003,0.030456853
2020/2/11,荆州,1110,79,21,35,24,4,1010,0.034895314
2020/2/12,荆州,1393,101,23,283,22,2,1269,0.28019802
2020/2/13,荆州,1447,158,27,54,57,4,1262,0.042553191
2020/2/14,荆州,1478,192,32,31,34,5,1254,0.024564184
2020/2/15,荆州,1490,263,36,12,71,4,1191,0.009569378
2020/2/16,荆州,1501,305,37,11,42,1,1159,0.009235936
2020/2/17,荆州,1537,339,38,36,34,1,1160,0.03106126
2020/2/18,荆州,1541,409,38,4,70,0,1094,0.003448276
2020/2/19,荆州,1553,451,40,12,42,2,1062,0.010968921
2020/2/20,荆州,1560,531,40,7,80,0,989,0.006591337
2020/2/21,荆州,1566,612,40,6,81,0,914,0.006066734
2020/1/21,潜江,0,0,0,0,0,0,0,0
2020/1/22,潜江,0,0,0,0,0,0,0,0
2020/1/23,潜江,0,0,0,0,0,0,0,0
2020/1/24,潜江,0,0,0,0,0,0,0,0
2020/1/25,潜江,0,0,0,0,0,0,0,0
2020/1/26,潜江,5,0,1,5,0,1,4,0
2020/1/27,潜江,7,0,1,2,0,0,6,0.5
2020/1/28,潜江,8,0,1,1,0,0,7,0.166666667
2020/1/29,潜江,10,0,1,2,0,0,9,0.285714286
2020/1/30,潜江,12,0,1,2,0,0,11,0.222222222
2020/1/31,潜江,27,0,1,15,0,0,26,1.363636364
2020/2/1,潜江,35,0,1,8,0,0,34,0.307692308
2020/2/2,潜江,35,0,1,0,0,0,34,0
2020/2/3,潜江,44,0,1,9,0,0,43,0.264705882
2020/2/4,潜江,54,0,1,10,0,0,53,0.23255814
2020/2/5,潜江,64,0,1,10,0,0,63,0.188679245
2020/2/6,潜江,74,0,1,10,0,0,73,0.158730159
2020/2/7,潜江,80,1,2,6,1,1,77,0.082191781
2020/2/8,潜江,82,2,2,2,1,0,78,0.025974026
2020/2/9,潜江,85,3,2,3,1,0,80,0.038461538
2020/2/10,潜江,90,3,3,5,0,1,84,0.0625
2020/2/11,潜江,90,8,5,0,5,2,77,0
2020/2/12,潜江,94,8,5,4,0,0,81,0.051948052
2020/2/13,潜江,104,11,5,10,3,0,88,0.12345679
2020/2/14,潜江,116,12,5,12,1,0,99,0.136363636
2020/2/15,潜江,166,12,6,50,0,1,148,0.505050505
2020/2/16,潜江,182,18,6,16,6,0,158,0.108108108
2020/2/17,潜江,185,27,6,3,9,0,152,0.018987342
2020/2/18,潜江,185,40,6,0,13,0,139,0
2020/2/19,潜江,185,49,7,0,9,1,129,0
2020/2/20,潜江,188,57,7,3,8,0,124,0.023255814
2020/2/21,潜江,189,67,8,1,10,1,114,0.008064516
2020/1/21,神农架,0,0,0,0,0,0,0,0
2020/1/22,神农架,0,0,0,0,0,0,0,0
2020/1/23,神农架,0,0,0,0,0,0,0,0
2020/1/24,神农架,0,0,0,0,0,0,0,0
2020/1/25,神农架,0,0,0,0,0,0,0,0
2020/1/26,神农架,0,0,0,0,0,0,0,0
2020/1/27,神农架,1,0,0,1,0,0,1,0
2020/1/28,神农架,3,0,0,2,0,0,3,2
2020/1/29,神农架,5,0,0,2,0,0,5,0.666666667
2020/1/30,神农架,7,2,0,2,2,0,5,0.4
2020/1/31,神农架,7,2,0,0,0,0,5,0
2020/2/1,神农架,7,2,0,0,0,0,5,0
2020/2/2,神农架,7,2,0,0,0,0,5,0
2020/2/3,神农架,10,2,0,3,0,0,8,0.6
2020/2/4,神农架,10,2,0,0,0,0,8,0
2020/2/5,神农架,10,2,0,0,0,0,8,0
2020/2/6,神农架,10,2,0,0,0,0,8,0
2020/2/7,神农架,10,2,0,0,0,0,8,0
2020/2/8,神农架,10,2,0,0,0,0,8,0
2020/2/9,神农架,10,6,0,0,4,0,4,0
2020/2/10,神农架,10,6,0,0,0,0,4,0
2020/2/11,神农架,10,7,0,0,1,0,3,0
2020/2/12,神农架,10,8,0,0,1,0,2,0
2020/2/13,神农架,10,8,0,0,0,0,2,0
2020/2/14,神农架,10,8,0,0,0,0,2,0
2020/2/15,神农架,10,8,0,0,0,0,2,0
2020/2/16,神农架,10,8,0,0,0,0,2,0
2020/2/17,神农架,10,10,0,0,2,0,0,0
2020/2/18,神农架,10,10,0,0,0,0,0,0
2020/2/19,神农架,10,10,0,0,0,0,0,0
2020/2/20,神农架,10,10,0,0,0,0,0,0
2020/2/21,神农架,11,10,0,1,0,0,1,0
2020/1/21,十堰,0,0,0,0,0,0,0,0
2020/1/22,十堰,0,0,0,0,0,0,0,0
2020/1/23,十堰,1,0,0,1,0,0,1,0
2020/1/24,十堰,5,0,0,4,0,0,5,4
2020/1/25,十堰,20,0,0,15,0,0,20,3
2020/1/26,十堰,40,0,0,20,0,0,40,1
2020/1/27,十堰,65,0,0,25,0,0,65,0.625
2020/1/28,十堰,88,0,0,23,0,0,88,0.353846154
2020/1/29,十堰,119,0,0,31,0,0,119,0.352272727
2020/1/30,十堰,150,0,0,31,0,0,150,0.260504202
2020/1/31,十堰,177,0,0,27,0,0,177,0.18
2020/2/1,十堰,212,0,0,35,0,0,212,0.197740113
2020/2/2,十堰,256,2,0,44,2,0,254,0.20754717
2020/2/3,十堰,291,6,0,35,4,0,285,0.137795276
2020/2/4,十堰,318,9,0,27,3,0,309,0.094736842
2020/2/5,十堰,353,14,0,35,5,0,339,0.113268608
2020/2/6,十堰,395,24,0,42,10,0,371,0.123893805
2020/2/7,十堰,438,33,0,43,9,0,405,0.115902965
2020/2/8,十堰,467,40,0,29,7,0,427,0.071604938
2020/2/9,十堰,481,46,0,14,6,0,435,0.032786885
2020/2/10,十堰,505,59,1,24,13,1,445,0.055172414
2020/2/11,十堰,536,70,1,31,11,0,465,0.069662921
2020/2/12,十堰,562,81,1,26,11,0,480,0.055913978
2020/2/13,十堰,586,89,2,24,8,1,495,0.05
2020/2/14,十堰,597,100,2,11,11,0,495,0.022222222
2020/2/15,十堰,602,116,2,5,16,0,484,0.01010101
2020/2/16,十堰,612,126,2,10,10,0,484,0.020661157
2020/2/17,十堰,626,144,2,14,18,0,480,0.02892562
2020/2/18,十堰,638,164,2,12,20,0,472,0.025
2020/2/19,十堰,643,187,2,5,23,0,454,0.01059322
2020/2/20,十堰,656,209,2,13,22,0,445,0.028634361
2020/2/21,十堰,659,239,2,3,30,0,418,0.006741573
2020/1/21,随州,0,0,0,0,0,0,0,0
2020/1/22,随州,0,0,0,0,0,0,0,0
2020/1/23,随州,0,0,0,0,0,0,0,0
2020/1/24,随州,5,0,0,5,0,0,5,0
2020/1/25,随州,36,0,0,31,0,0,36,6.2
2020/1/26,随州,52,0,0,16,0,0,52,0.444444444
2020/1/27,随州,70,0,0,18,0,0,70,0.346153846
2020/1/28,随州,116,0,0,46,0,0,116,0.657142857
2020/1/29,随州,143,0,0,27,0,0,143,0.232758621
2020/1/30,随州,228,0,0,85,0,0,228,0.594405594
2020/1/31,随州,304,0,1,76,0,1,303,0.333333333
2020/2/1,随州,384,3,3,80,3,2,378,0.264026403
2020/2/2,随州,458,3,5,74,0,2,450,0.195767196
2020/2/3,随州,641,3,6,183,0,1,632,0.406666667
2020/2/4,随州,706,9,8,65,6,2,689,0.102848101
2020/2/5,随州,834,9,9,128,0,1,816,0.185776488
2020/2/6,随州,915,9,9,81,0,0,897,0.099264706
2020/2/7,随州,953,23,9,38,14,0,921,0.042363434
2020/2/8,随州,984,23,9,31,0,0,952,0.033659066
2020/2/9,随州,1049,23,10,65,0,1,1016,0.068277311
2020/2/10,随州,1095,26,12,46,3,2,1057,0.045275591
2020/2/11,随州,1129,51,12,34,25,0,1066,0.032166509
2020/2/12,随州,1160,62,14,31,11,2,1084,0.029080675
2020/2/13,随州,1206,72,16,46,10,2,1118,0.042435424
2020/2/14,随州,1232,96,19,26,24,3,1117,0.023255814
2020/2/15,随州,1254,113,22,22,17,3,1119,0.019695613
2020/2/16,随州,1267,140,24,13,27,2,1103,0.011617516
2020/2/17,随州,1278,198,25,11,58,1,1055,0.009972801
2020/2/18,随州,1280,254,26,2,56,1,1000,0.001895735
2020/2/19,随州,1288,308,27,8,54,1,953,0.008
2020/2/20,随州,1292,386,28,4,78,1,878,0.004197272
2020/2/21,随州,1296,443,29,4,57,1,824,0.004555809
2020/1/21,天门,0,0,0,0,0,0,0,0
2020/1/22,天门,0,0,0,0,0,0,0,0
2020/1/23,天门,0,0,0,0,0,0,0,0
2020/1/24,天门,3,0,0,3,0,0,3,0
2020/1/25,天门,5,0,0,2,0,0,5,0.666666667
2020/1/26,天门,13,0,0,8,0,0,13,1.6
2020/1/27,天门,23,0,2,10,0,2,21,0.769230769
2020/1/28,天门,34,0,3,11,0,1,31,0.523809524
2020/1/29,天门,44,0,3,10,0,0,41,0.322580645
2020/1/30,天门,67,0,6,23,0,3,61,0.56097561
2020/1/31,天门,82,0,7,15,0,1,75,0.245901639
2020/2/1,天门,99,0,7,17,0,0,92,0.226666667
2020/2/2,天门,115,0,10,16,0,3,105,0.173913043
2020/2/3,天门,117,0,10,2,0,0,107,0.019047619
2020/2/4,天门,128,0,10,11,0,0,118,0.102803738
2020/2/5,天门,138,1,10,10,1,0,127,0.084745763
2020/2/6,天门,163,1,10,25,0,0,152,0.196850394
2020/2/7,天门,179,1,10,16,0,0,168,0.105263158
2020/2/8,天门,197,1,10,18,0,0,186,0.107142857
2020/2/9,天门,217,10,10,20,9,0,197,0.107526882
2020/2/10,天门,261,12,10,44,2,0,239,0.223350254
2020/2/11,天门,293,12,10,32,0,0,271,0.133891213
2020/2/12,天门,362,13,10,69,1,0,339,0.254612546
2020/2/13,天门,416,21,10,54,8,0,385,0.159292035
2020/2/14,天门,422,21,10,6,0,0,391,0.015584416
2020/2/15,天门,447,27,10,25,6,0,410,0.063938619
2020/2/16,天门,485,39,10,38,12,0,436,0.092682927
2020/2/17,天门,486,55,11,1,16,1,420,0.002293578
2020/2/18,天门,486,73,11,0,18,0,402,0
2020/2/19,天门,488,133,12,2,60,1,343,0.004975124
2020/2/20,天门,492,165,12,4,32,0,315,0.011661808
2020/2/21,天门,493,198,12,1,33,0,283,0.003174603
2020/1/21,武汉,363,28,9,0,0,0,326,0
2020/1/22,武汉,425,28,17,62,0,8,380,0.190184049
2020/1/23,武汉,495,31,23,70,3,6,441,0.184210526
2020/1/24,武汉,572,32,38,77,1,15,502,0.174603175
2020/1/25,武汉,618,40,45,46,8,7,533,0.091633466
2020/1/26,武汉,698,42,63,80,2,18,593,0.150093809
2020/1/27,武汉,1590,45,85,892,3,22,1460,1.504215852
2020/1/28,武汉,1905,78,104,315,33,19,1723,0.215753425
2020/1/29,武汉,2261,85,129,356,7,25,2047,0.206616367
2020/1/30,武汉,2639,106,159,378,21,30,2374,0.184660479
2020/1/31,武汉,3215,142,192,576,36,33,2881,0.242628475
2020/2/1,武汉,4109,174,224,894,32,32,3711,0.310308921
2020/2/2,武汉,5142,227,265,1033,53,41,4650,0.278361628
2020/2/3,武汉,6384,306,313,1242,79,48,5765,0.267096774
2020/2/4,武汉,8351,369,362,1967,63,49,7620,0.341196878
2020/2/5,武汉,10117,432,414,1766,63,52,9271,0.23175853
2020/2/6,武汉,11618,535,478,1501,103,64,10605,0.161902707
2020/2/7,武汉,13603,699,545,1985,164,67,12359,0.18717586
2020/2/8,武汉,14982,878,608,1379,179,63,13496,0.111578607
2020/2/9,武汉,16902,1045,681,1920,167,73,15176,0.142264375
2020/2/10,武汉,18454,1207,748,1552,162,67,16499,0.102266737
2020/2/11,武汉,19558,1378,820,1104,171,72,17360,0.066913146
2020/2/12,武汉,32081,1646,928,12523,268,108,29507,0.721370968
2020/2/13,武汉,35991,2016,1016,3910,370,88,32959,0.13251093
2020/2/14,武汉,37914,2502,1123,1923,486,107,34289,0.058345217
2020/2/15,武汉,39462,2915,1233,1548,413,110,35314,0.045145674
2020/2/16,武汉,41152,3458,1309,1690,543,76,36385,0.047856374
2020/2/17,武汉,42752,4219,1381,1600,761,72,37152,0.043974165
2020/2/18,武汉,44412,4895,1497,1660,676,116,38020,0.044681309
2020/2/19,武汉,45027,5448,1585,615,553,88,37994,0.016175697
2020/2/20,武汉,45576,6214,1684,539,766,99,37668,0.014309
2020/2/21,武汉,45881,7209,1774,315,995,90,36680,0.008587
2020/1/21,仙桃,0,0,0,0,0,0,0,0
2020/1/22,仙桃,0,0,0,0,0,0,0,0
2020/1/23,仙桃,2,0,0,2,0,0,2,0
2020/1/24,仙桃,10,0,0,8,0,0,10,4
2020/1/25,仙桃,11,0,0,1,0,0,11,0.1
2020/1/26,仙桃,12,0,0,1,0,0,12,0.090909091
2020/1/27,仙桃,27,0,0,15,0,0,27,1.25
2020/1/28,仙桃,32,0,0,5,0,0,32,0.185185185
2020/1/29,仙桃,55,0,0,23,0,0,55,0.71875
2020/1/30,仙桃,90,0,1,35,0,1,89,0.636363636
2020/1/31,仙桃,97,0,1,7,0,0,96,0.078651685
2020/2/1,仙桃,140,0,3,43,0,2,137,0.447916667
2020/2/2,仙桃,169,0,3,29,0,0,166,0.211678832
2020/2/3,仙桃,188,0,3,19,0,0,185,0.114457831
2020/2/4,仙桃,225,0,4,37,0,1,221,0.2
2020/2/5,仙桃,265,0,5,40,0,1,260,0.180995475
2020/2/6,仙桃,307,11,5,42,11,0,291,0.161538462
2020/2/7,仙桃,359,14,5,52,3,0,340,0.178694158
2020/2/8,仙桃,379,16,5,20,2,0,358,0.058823529
2020/2/9,仙桃,416,16,7,37,0,2,393,0.103351955
2020/2/10,仙桃,438,41,11,22,25,4,386,0.055979644
2020/2/11,仙桃,460,43,13,22,2,2,404,0.056994819
2020/2/12,仙桃,480,48,16,20,5,3,416,0.04950495
2020/2/13,仙桃,500,58,17,20,10,1,425,0.048076923
2020/2/14,仙桃,514,63,17,14,5,0,434,0.032941176
2020/2/15,仙桃,523,87,17,9,24,0,419,0.020737327
2020/2/16,仙桃,531,107,19,8,20,2,405,0.019093079
2020/2/17,仙桃,544,121,19,13,14,0,404,0.032098765
2020/2/18,仙桃,562,149,19,18,28,0,394,0.044554455
2020/2/19,仙桃,567,184,19,5,35,0,364,0.012690355
2020/2/20,仙桃,568,210,19,1,26,0,339,0.002747253
2020/2/21,仙桃,571,231,19,3,21,0,321,0.008849558
2020/1/21,咸宁,0,0,0,0,0,0,0,0
2020/1/22,咸宁,0,0,0,0,0,0,0,0
2020/1/23,咸宁,0,0,0,0,0,0,0,0
2020/1/24,咸宁,0,0,0,0,0,0,0,0
2020/1/25,咸宁,43,0,0,43,0,0,43,0
2020/1/26,咸宁,64,0,0,21,0,0,64,0.488372093
2020/1/27,咸宁,91,0,0,27,0,0,91,0.421875
2020/1/28,咸宁,112,0,0,21,0,0,112,0.230769231
2020/1/29,咸宁,130,0,0,18,0,0,130,0.160714286
2020/1/30,咸宁,166,0,0,36,0,0,166,0.276923077
2020/1/31,咸宁,206,1,0,40,1,0,205,0.240963855
2020/2/1,咸宁,246,1,0,40,0,0,245,0.195121951
2020/2/2,咸宁,296,1,0,50,0,0,295,0.204081633
2020/2/3,咸宁,348,1,0,52,0,0,347,0.176271186
2020/2/4,咸宁,384,2,0,36,1,0,382,0.103746398
2020/2/5,咸宁,399,3,1,15,1,1,395,0.039267016
2020/2/6,咸宁,443,6,1,44,3,0,436,0.111392405
2020/2/7,咸宁,476,12,2,33,6,1,462,0.075688073
2020/2/8,咸宁,493,23,4,17,11,2,466,0.036796537
2020/2/9,咸宁,507,44,4,14,21,0,459,0.030042918
2020/2/10,咸宁,515,51,5,8,7,1,459,0.017429194
2020/2/11,咸宁,525,65,6,10,14,1,454,0.021786492
2020/2/12,咸宁,532,84,7,7,19,1,441,0.015418502
2020/2/13,咸宁,732,99,8,200,15,1,625,0.453514739
2020/2/14,咸宁,804,127,8,72,28,0,669,0.1152
2020/2/15,咸宁,816,152,8,12,25,0,656,0.01793722
2020/2/16,咸宁,825,181,10,9,29,2,634,0.013719512
2020/2/17,咸宁,832,204,10,7,23,0,618,0.011041009
2020/2/18,咸宁,832,225,10,0,21,0,597,0
2020/2/19,咸宁,834,268,10,2,43,0,556,0.003350084
2020/2/20,咸宁,834,313,10,0,45,0,511,0
2020/2/21,咸宁,836,358,11,2,45,1,467,0.003913894
2020/1/21,襄阳,0,0,0,0,0,0,0,0
2020/1/22,襄阳,0,0,0,0,0,0,0,0
2020/1/23,襄阳,0,0,0,0,0,0,0,0
2020/1/24,襄阳,0,0,0,0,0,0,0,0
2020/1/25,襄阳,2,0,0,2,0,0,2,0
