日期,地区,确诊人数,死亡人数,治愈人数,扩散曲线,消亡曲线,拐点曲线,三日平均扩散曲线,三日平均消亡曲线,三日平均拐点曲线,插值出院天数,插值三日平均出院天数
2月3日,恩施州,123,0,0,0.108108108,-0.045045045,-0.153153153,0.124049172,0.001514815,-0.122534357,0,6.151515152
2月4日,恩施州,138,0,6,0.12195122,0.048780488,-0.073170732,0.095734062,0.01394356,-0.081790501,11.45454545,7
2月5日,恩施州,144,0,10,0.043478261,0.028985507,-0.014492754,0.091179196,0.010906983,-0.080272213,12.09090909,7.848484848
2月6日,恩施州,157,0,10,0.090277778,0,-0.090277778,0.085235753,0.025921998,-0.059313754,13.09090909,12.21212121
2月7日,恩施州,160,0,13,0.01910828,0.01910828,3.47E-18,0.050954773,0.016031263,-0.03492351,13.66666667,12.94949495
2月8日,恩施州,171,0,20,0.06875,0.04375,-0.025,0.059378686,0.02095276,-0.038425926,13.625,13.46085859
2月9日,恩施州,187,0,24,0.093567251,0.023391813,-0.070175439,0.060475177,0.028750031,-0.031725146,14.125,13.80555556
2月10日,恩施州,195,2,31,0.042780749,0.048128342,0.005347594,0.068366,0.038423385,-0.029942615,14.38461538,14.04487179
1月21日,黄冈,12,0,0,-0.938461538,-0.169230769,0.769230769,-0.267371179,-0.032570205,0.234800975,0,9.503205128
1月22日,黄冈,12,0,0,0,0,0,-0.298560263,-0.040367476,0.258192788,0,4.794871795
1月23日,黄冈,12,0,0,0,0,0,-0.312820513,-0.056410256,0.256410256,0,0
1月24日,黄冈,64,0,0,4.333333333,0,-4.333333333,1.444444444,0,-1.444444444,0,0
1月25日,黄冈,122,2,2,0.90625,0.0625,-0.84375,1.746527778,0.020833333,-1.725694444,4,1.333333333
1月26日,黄冈,154,4,2,0.262295082,0.016393443,-0.245901639,1.833959472,0.026297814,-1.807661658,5,3
1月27日,黄冈,213,4,2,0.383116883,0,-0.383116883,0.517220655,0.026297814,-0.490922841,6,5
1月28日,黄冈,324,5,2,0.521126761,0.004694836,-0.516431925,0.388846242,0.007029426,-0.381816816,7,6
1月29日,黄冈,496,12,5,0.530864198,0.030864198,-0.5,0.47836928,0.011853011,-0.466516269,5.903846154,6.301282051
1月30日,黄冈,573,12,6,0.155241935,0.002016129,-0.153225806,0.402410965,0.012525054,-0.38988591,6.884615385,6.596153846
1月31日,黄冈,726,14,17,0.267015707,0.022687609,-0.244328098,0.31770728,0.018522645,-0.299184635,7.634615385,6.807692308
2月1日,黄冈,1002,15,27,0.380165289,0.015151515,-0.365013774,0.267474311,0.013285084,-0.254189226,8.423076923,7.647435897
2月2日,黄冈,1246,17,32,0.243512974,0.006986028,-0.236526946,0.29689799,0.014941717,-0.281956273,9.288461538,8.448717949
2月3日,黄冈,1422,19,41,0.141252006,0.00882825,-0.132423756,0.254976757,0.010321931,-0.244654825,10.07692308,9.262820513
2月4日,黄冈,1645,25,50,0.156821378,0.010548523,-0.146272855,0.180528786,0.008787601,-0.171741186,10.81034483,10.05857648
2月5日,黄冈,1807,29,60,0.098480243,0.008510638,-0.089969605,0.132184543,0.009295804,-0.122888739,11.56896552,10.81874447
2月6日,黄冈,1897,32,66,0.049806309,0.004980631,-0.044825678,0.101702643,0.008013264,-0.093689379,12.4137931,11.59770115
2月7日,黄冈,2041,36,103,0.075909331,0.021613073,-0.054296257,0.074731961,0.011701447,-0.063030513,12.46875,12.15050287
2月8日,黄冈,2141,43,135,0.04899559,0.01910828,-0.02988731,0.058237077,0.015233995,-0.043003082,12.59322034,12.49192115
2月9日,黄冈,2252,45,187,0.051844932,0.025221859,-0.026623073,0.058916618,0.021981071,-0.036935547,12.82882883,12.63026639
2月10日,黄冈,2332,52,277,0.035523979,0.043072824,0.007548845,0.045454834,0.029134321,-0.016320513,12.97093023,12.7976598
1月21日,黄石,0,0,0,-1,-0.141080617,0.858919383,-0.304210363,-0.024261978,0.279948385,0,8.599919687
1月22日,黄石,0,0,0,0,0,0,-0.321492007,-0.032669264,0.288822743,0,4.323643411
1月23日,黄石,0,0,0,0,0,0,-0.333333333,-0.047026872,0.286306461,0,0
1月24日,黄石,0,0,0,0,0,0,0,0,0,0,0
1月25日,黄石,31,1,0,0,0,0,0,0,0,0.967741935,0.322580645
1月26日,黄石,36,1,0,0.161290323,0,-0.161290323,0.053763441,0,-0.053763441,1.967741935,0.978494624
1月27日,黄石,53,1,0,0.472222222,0,-0.472222222,0.211170848,0,-0.211170848,2.967741935,1.967741935
1月28日,黄石,86,1,0,0.622641509,0,-0.622641509,0.418718018,0,-0.418718018,3.967741935,2.967741935
1月29日,黄石,113,1,0,0.313953488,0,-0.313953488,0.46960574,0,-0.46960574,4.967741935,3.967741935
1月30日,黄石,168,1,0,0.486725664,0,-0.486725664,0.474440221,0,-0.474440221,5.967741935,4.967741935
1月31日,黄石,209,2,0,0.244047619,0.005952381,-0.238095238,0.348242257,0.001984127,-0.34625813,6.935483871,5.956989247
2月1日,黄石,252,2,1,0.205741627,0.004784689,-0.200956938,0.312171637,0.003579023,-0.308592613,7.903225806,6.935483871
2月2日,黄石,334,2,9,0.325396825,0.031746032,-0.293650794,0.258395357,0.014161034,-0.244234323,8.64516129,7.827956989
2月3日,黄石,405,2,7,0.21257485,-0.005988024,-0.218562874,0.247904434,0.010180899,-0.237723535,9.709677419,8.752688172
2月4日,黄石,509,2,18,0.256790123,0.027160494,-0.22962963,0.2649206,0.017639501,-0.247281099,10.35483871,9.569892473
2月5日,黄石,566,2,25,0.111984283,0.013752456,-0.098231827,0.193783086,0.011641642,-0.182141444,11.12903226,10.39784946
2月6日,黄石,635,2,31,0.121908127,0.010600707,-0.11130742,0.163560845,0.017171219,-0.146389626,11.6,11.02795699
2月7日,黄石,703,2,43,0.107086614,0.018897638,-0.088188976,0.113659675,0.014416933,-0.099242741,11.47058824,11.3998735
2月8日,黄石,760,2,53,0.081081081,0.014224751,-0.06685633,0.103358607,0.014574365,-0.088784242,11.93939394,11.66999406
2月9日,黄石,805,3,67,0.059210526,0.019736842,-0.039473684,0.082459407,0.017619744,-0.064839664,12.48484848,11.96494355
2月10日,黄石,835,5,82,0.037267081,0.021118012,-0.016149068,0.059186229,0.018359869,-0.040826361,12.96296296,12.4624018
1月21日,荆门,0,0,0,-1,-0.104191617,0.895808383,-0.301174131,-0.021112254,0.280061877,0,8.482603816
1月22日,荆门,1,0,0,0,0,0,-0.320910973,-0.027691201,0.293219772,0,4.320987654
1月23日,荆门,8,0,0,7,0,-7,2,-0.034730539,-2.034730539,0,0
1月24日,荆门,21,0,0,1.625,0,-1.625,2.875,0,-2.875,0,0
1月25日,荆门,38,1,0,0.80952381,0.047619048,-0.761904762,3.14484127,0.015873016,-3.128968254,3,1
1月26日,荆门,90,3,0,1.368421053,0.052631579,-1.315789474,1.267648287,0.033416876,-1.234231412,3.714285714,2.238095238
1月27日,荆门,114,3,0,0.266666667,0,-0.266666667,0.81487051,0.033416876,-0.781453634,4.714285714,3.80952381
1月28日,荆门,142,4,0,0.245614035,0.00877193,-0.236842105,0.626900585,0.020467836,-0.606432749,5.571428571,4.666666667
1月29日,荆门,191,4,0,0.345070423,0,-0.345070423,0.285783708,0.002923977,-0.282859731,6.571428571,5.619047619
1月30日,荆门,227,5,0,0.188481675,0.005235602,-0.183246073,0.259722044,0.004669177,-0.255052867,7.428571429,6.523809524
1月31日,荆门,251,5,1,0.105726872,0.004405286,-0.101321586,0.21309299,0.003213629,-0.209879361,8.285714286,7.428571429
2月1日,荆门,329,7,3,0.310756972,0.015936255,-0.294820717,0.201655173,0.008525714,-0.193129459,8.846153846,8.186813187
2月2日,荆门,345,11,6,0.048632219,0.021276596,-0.027355623,0.155038688,0.013872712,-0.141165975,9.307692308,8.813186813
2月3日,荆门,400,14,9,0.15942029,0.017391304,-0.142028986,0.172936494,0.018201385,-0.154735109,9.882352941,9.345399698
2月4日,荆门,422,16,16,0.055,0.0225,-0.0325,0.08768417,0.0203893,-0.06729487,10.35294118,9.847662142
2月5日,荆门,508,17,21,0.203791469,0.014218009,-0.18957346,0.13940392,0.018036438,-0.121367482,11,10.41176471
2月6日,荆门,553,17,24,0.088582677,0.005905512,-0.082677165,0.115791382,0.01420784,-0.101583542,11.94230769,11.09841629
2月7日,荆门,588,18,36,0.063291139,0.023508137,-0.039783002,0.118555095,0.014543886,-0.104011209,12.69230769,11.87820513
2月8日,荆门,629,19,48,0.12755102,0.022108844,-0.105442177,0.093141612,0.017174164,-0.075967448,13.44230769,12.69230769
2月9日,荆门,641,20,63,-0.033182504,0.02413273,0.057315234,0.052553219,0.023249904,-0.029303315,14.13461538,13.42307692
2月10日,荆门,656,21,69,0.023400936,0.010920437,-0.012480499,0.039256484,0.019054003,-0.020202481,15,14.19230769
1月21日,荆州,0,0,0,-1,-0.137195122,0.862804878,-0.336593856,-0.034047318,0.302546538,0,9.711538462
1月22日,荆州,6,0,0,0,0,0,-0.325533021,-0.042091562,0.28344146,0,5
1月23日,荆州,8,0,0,0.333333333,0,-0.333333333,-0.222222222,-0.045731707,0.176490515,0,0
1月24日,荆州,10,0,0,0.25,0,-0.25,0.194444444,0,-0.194444444,0,0
1月25日,荆州,33,2,0,2.3,0.2,-2.1,0.961111111,0.066666667,-0.894444444,3.666666667,1.222222222
1月26日,荆州,47,2,0,0.424242424,0,-0.424242424,0.991414141,0.066666667,-0.924747475,4.666666667,2.777777778
1月27日,荆州,71,2,0,0.510638298,0,-0.510638298,1.078293574,0.066666667,-1.011626907,5.666666667,4.666666667
1月28日,荆州,101,2,0,0.422535211,0,-0.422535211,0.452471978,0,-0.452471978,6.666666667,5.666666667
1月29日,荆州,151,3,0,0.495049505,0.00990099,-0.485148515,0.476074338,0.00330033,-0.472774008,7.5,6.611111111
1月30日,荆州,221,3,0,0.463576159,0,-0.463576159,0.460386958,0.00330033,-0.457086628,8.5,7.555555556
1月31日,荆州,287,4,1,0.298642534,0.009049774,-0.28959276,0.419089399,0.006316921,-0.412772478,9.166666667,8.388888889
2月1日,荆州,333,4,1,0.160278746,0,-0.160278746,0.307499146,0.003016591,-0.304482555,10.16666667,9.277777778
2月2日,荆州,499,6,3,0.498498498,0.012012012,-0.486486486,0.319139926,0.007020595,-0.312119331,9.5,9.611111111
2月3日,荆州,613,7,6,0.228456914,0.008016032,-0.220440882,0.295744719,0.006676015,-0.289068705,9.869565217,9.845410628
2月4日,荆州,713,9,6,0.163132137,0.003262643,-0.159869494,0.29669585,0.007763562,-0.288932288,10.7826087,10.05072464
2月5日,荆州,801,10,15,0.12342216,0.014025245,-0.109396914,0.171670404,0.00843464,-0.163235763,11.34782609,10.66666667
2月6日,荆州,885,10,19,0.104868914,0.004993758,-0.099875156,0.130474404,0.007427215,-0.123047188,12.17391304,11.43478261
2月7日,荆州,941,11,26,0.063276836,0.009039548,-0.054237288,0.097189303,0.00935285,-0.087836453,12.71428571,12.07867495
2月8日,荆州,997,13,30,0.059511158,0.006376196,-0.053134963,0.075885636,0.006803167,-0.069082469,13.28571429,12.72463768
2月9日,荆州,1045,15,42,0.048144433,0.014042126,-0.034102307,0.056977476,0.00981929,-0.047158186,13.58333333,13.19444444
2月10日,荆州,1075,17,52,0.028708134,0.011483254,-0.01722488,0.045454575,0.010633859,-0.034820717,14.08333333,13.65079365
1月21日,潜江,0,0,0,-1,-0.064186047,0.935813953,-0.307715811,-0.012886889,0.294828922,0,9.222222222
1月22日,潜江,0,0,0,0,0,0,-0.323763955,-0.017567598,0.306196358,0,4.694444444
1月23日,潜江,0,0,0,0,0,0,-0.333333333,-0.021395349,0.311937984,0,0
1月24日,潜江,0,0,0,0,0,0,0,0,0,0,0
1月25日,潜江,0,0,0,0,0,0,0,0,0,0,0
1月26日,潜江,5,1,0,0,0,0,0,0,0,0.8,0.266666667
1月27日,潜江,7,1,0,0.4,0,-0.4,0.133333333,0,-0.133333333,1.8,0.866666667
1月28日,潜江,8,1,0,0.142857143,0,-0.142857143,0.180952381,0,-0.180952381,2.8,1.8
1月29日,潜江,10,1,0,0.25,0,-0.25,0.264285714,0,-0.264285714,3.8,2.8
1月30日,潜江,12,1,0,0.2,0,-0.2,0.197619048,0,-0.197619048,4.8,3.8
1月31日,潜江,27,1,0,1.25,0,-1.25,0.566666667,0,-0.566666667,5.8,4.8
2月1日,潜江,35,1,0,0.296296296,0,-0.296296296,0.582098765,0,-0.582098765,6.8,5.8
2月2日,潜江,35,1,0,0,0,0,0.515432099,0,-0.515432099,7.8,6.8
2月3日,潜江,44,1,0,0.257142857,0,-0.257142857,0.184479718,0,-0.184479718,8.8,7.8
2月4日,潜江,54,1,0,0.227272727,0,-0.227272727,0.161471861,0,-0.161471861,9.8,8.8
2月5日,潜江,64,1,0,0.185185185,0,-0.185185185,0.223200257,0,-0.223200257,10.8,9.8
2月6日,潜江,74,1,0,0.15625,0,-0.15625,0.189569304,0,-0.189569304,11.8,10.8
2月7日,潜江,80,2,1,0.081081081,0.027027027,-0.054054054,0.140838755,0.009009009,-0.131829746,12.4,11.66666667
2月8日,潜江,82,2,2,0.025,0.0125,-0.0125,0.087443694,0.013175676,-0.074268018,13.2,12.46666667
2月9日,潜江,85,2,3,0.036585366,0.012195122,-0.024390244,0.047555482,0.017240716,-0.030314766,14,13.2
2月10日,潜江,90,3,3,0.058823529,0.011764706,-0.047058824,0.040136298,0.012153276,-0.027983022,14.5,13.9
1月21日,神农架,0,0,0,-1,-0.066666667,0.933333333,-0.301530368,-0.014235613,0.287294755,0,9.5
1月22日,神农架,0,0,0,0,0,0,-0.31372549,-0.018300654,0.295424837,0,4.833333333
1月23日,神农架,0,0,0,0,0,0,-0.333333333,-0.022222222,0.311111111,0,0
1月24日,神农架,0,0,0,0,0,0,0,0,0,0,0
1月25日,神农架,0,0,0,0,0,0,0,0,0,0,0
1月26日,神农架,0,0,0,0,0,0,0,0,0,0,0
1月27日,神农架,1,0,0,0,0,0,0,0,0,0,0
1月28日,神农架,3,0,0,2,0,-2,0.666666667,0,-0.666666667,0,0
1月29日,神农架,5,0,0,0.666666667,0,-0.666666667,0.888888889,0,-0.888888889,0,0
1月30日,神农架,7,0,2,0.4,0.4,1.11E-16,1.022222222,0.133333333,-0.888888889,2.5,0.833333333
1月31日,神农架,7,0,2,0,0,0,0.355555556,0.133333333,-0.222222222,3.5,2
2月1日,神农架,7,0,2,0,0,0,0.133333333,0.133333333,3.70E-17,4.5,3.5
2月2日,神农架,7,0,2,0,0,0,0,0,0,5.5,4.5
2月3日,神农架,10,0,2,0.428571429,0,-0.428571429,0.142857143,0,-0.142857143,6.5,5.5
2月4日,神农架,10,0,2,0,0,0,0.142857143,0,-0.142857143,7.5,6.5
2月5日,神农架,10,0,2,0,0,0,0.142857143,0,-0.142857143,8.5,7.5
2月6日,神农架,10,0,2,0,0,0,0,0,0,9.5,8.5
2月7日,神农架,10,0,2,0,0,0,0,0,0,10.5,9.5
2月8日,神农架,10,0,2,0,0,0,0,0,0,11.5,10.5
2月9日,神农架,10,0,6,0,0.4,0.4,0,0.133333333,0.133333333,10.5,10.83333333
2月10日,神农架,10,0,6,0,0,0,0,0.133333333,0.133333333,11.5,11.16666667
1月21日,十堰,0,0,0,-1,-0.6,0.4,-0.333333333,-0.066666667,0.266666667,0,7.333333333
1月22日,十堰,0,0,0,0,0,0,-0.333333333,-0.2,0.133333333,0,3.833333333
1月23日,十堰,1,0,0,0,0,0,-0.333333333,-0.2,0.133333333,0,0
1月24日,十堰,5,0,0,4,0,-4,1.333333333,0,-1.333333333,0,0
1月25日,十堰,20,0,0,3,0,-3,2.333333333,0,-2.333333333,0,0
1月26日,十堰,40,0,0,1,0,-1,2.666666667,0,-2.666666667,0,0
1月27日,十堰,65,0,0,0.625,0,-0.625,1.541666667,0,-1.541666667,0,0
1月28日,十堰,88,0,0,0.353846154,0,-0.353846154,0.659615385,0,-0.659615385,0,0
1月29日,十堰,119,0,0,0.352272727,0,-0.352272727,0.443706294,0,-0.443706294,0,0
1月30日,十堰,150,0,0,0.260504202,0,-0.260504202,0.322207694,0,-0.322207694,0,0
1月31日,十堰,177,0,0,0.18,0,-0.18,0.264258976,0,-0.264258976,0,0
2月1日,十堰,212,0,0,0.197740113,0,-0.197740113,0.212748105,0,-0.212748105,0,0
2月2日,十堰,256,0,2,0.20754717,0.009433962,-0.198113208,0.195095761,0.003144654,-0.191951107,9.75,3.25
2月3日,十堰,291,0,6,0.13671875,0.015625,-0.12109375,0.180668678,0.008352987,-0.17231569,9.933333333,6.561111111
2月4日,十堰,318,0,9,0.092783505,0.010309278,-0.082474227,0.145683142,0.011789414,-0.133893728,10.73333333,10.13888889
2月5日,十堰,353,0,14,0.110062893,0.01572327,-0.094339623,0.113188383,0.01388585,-0.099302533,11.4,10.68888889
2月6日,十堰,395,0,24,0.11898017,0.028328612,-0.090651558,0.107275523,0.018120387,-0.089155136,11.8,11.31111111
2月7日,十堰,438,0,33,0.108860759,0.02278481,-0.086075949,0.112634608,0.022278897,-0.09035571,12.35,11.85
2月8日,十堰,467,0,40,0.066210046,0.015981735,-0.050228311,0.098016992,0.022365052,-0.075651939,13,12.38333333
2月9日,十堰,481,0,46,0.029978587,0.012847966,-0.017130621,0.068349797,0.017204837,-0.05114496,13.76,13.03666667
2月10日,十堰,505,1,59,0.04989605,0.029106029,-0.020790021,0.048694894,0.01931191,-0.029382984,14.2,13.65333333
1月21日,随州,0,0,0,-1,-0.118811881,0.881188119,-0.306708454,-0.025619295,0.281089159,0,9.32
1月22日,随州,0,0,0,0,0,0,-0.316701317,-0.029901951,0.286799366,0,4.733333333
1月23日,随州,0,0,0,0,0,0,-0.333333333,-0.03960396,0.293729373,0,0
1月24日,随州,5,0,0,0,0,0,0,0,0,0,0
1月25日,随州,36,0,0,6.2,0,-6.2,2.066666667,0,-2.066666667,0,0
1月26日,随州,52,0,0,0.444444444,0,-0.444444444,2.214814815,0,-2.214814815,0,0
1月27日,随州,70,0,0,0.346153846,0,-0.346153846,2.33019943,0,-2.33019943,0,0
1月28日,随州,116,0,0,0.657142857,0,-0.657142857,0.482580383,0,-0.482580383,0,0
1月29日,随州,143,0,0,0.232758621,0,-0.232758621,0.412018441,0,-0.412018441,0,0
1月30日,随州,228,0,0,0.594405594,0,-0.594405594,0.494769024,0,-0.494769024,0,0
1月31日,随州,304,1,0,0.333333333,0.004385965,-0.328947368,0.386832516,0.001461988,-0.385370528,7.8,2.6
2月1日,随州,384,3,3,0.263157895,0.016447368,-0.246710526,0.396965607,0.006944444,-0.390021163,7.967741935,5.255913978
2月2日,随州,458,5,3,0.192708333,0.005208333,-0.1875,0.26306652,0.008680556,-0.254385965,8.903225806,8.223655914
2月3日,随州,641,6,0,0.399563319,-0.004366812,-0.403930131,0.285143182,0.005762963,-0.279380219,9.967741935,8.946236559
2月4日,随州,706,8,9,0.101404056,0.017160686,-0.08424337,0.231225236,0.006000736,-0.2252245,10.61290323,9.827956989
2月5日,随州,834,9,9,0.181303116,0.001416431,-0.179886686,0.227423497,0.004736768,-0.222686729,11.58064516,10.72043011
2月6日,随州,915,9,9,0.097122302,0,-0.097122302,0.126609825,0.006192372,-0.120417452,12.58064516,11.59139785
2月7日,随州,953,9,23,0.041530055,0.015300546,-0.026229508,0.106651824,0.005572326,-0.101079499,13.12903226,12.43010753
2月8日,随州,984,9,23,0.032528856,0,-0.032528856,0.057060404,0.005100182,-0.051960222,14.12903226,13.27956989
2月9日,随州,1049,10,23,0.066056911,0.00101626,-0.06504065,0.046705274,0.005438936,-0.041266338,15.09677419,14.11827957
2月10日,随州,1095,12,26,0.043851287,0.004766444,-0.039084843,0.047479018,0.001927568,-0.04555145,15.875,15.03360215
1月21日,天门,0,0,0,-1,-0.034703196,0.965296804,-0.296697267,-0.009640164,0.287057104,0,10.32392473
1月22日,天门,0,0,0,0,0,0,-0.318716238,-0.009978917,0.30873732,0,5.291666667
1月23日,天门,0,0,0,0,0,0,-0.333333333,-0.011567732,0.321765601,0,0
1月24日,天门,3,0,0,0,0,0,0,0,0,0,0
1月25日,天门,5,0,0,0.666666667,0,-0.666666667,0.222222222,0,-0.222222222,0,0
1月26日,天门,13,0,0,1.6,0,-1.6,0.755555556,0,-0.755555556,0,0
1月27日,天门,23,2,0,0.769230769,0.153846154,-0.615384615,1.011965812,0.051282051,-0.960683761,3.333333333,1.111111111
1月28日,天门,34,3,0,0.47826087,0.043478261,-0.434782609,0.94916388,0.065774805,-0.883389075,4,2.444444444
1月29日,天门,44,3,0,0.294117647,0,-0.294117647,0.513869762,0.065774805,-0.448094957,5,4.111111111
1月30日,天门,67,6,0,0.522727273,0.068181818,-0.454545455,0.43170193,0.037220026,-0.394481903,4.875,4.625
1月31日,天门,82,7,0,0.223880597,0.014925373,-0.208955224,0.346908506,0.027702397,-0.319206108,5.75,5.208333333
2月1日,天门,99,7,0,0.207317073,0,-0.207317073,0.317974981,0.027702397,-0.290272584,6.75,5.791666667
2月2日,天门,115,10,0,0.161616162,0.03030303,-0.131313131,0.197604611,0.015076134,-0.182528476,7.375,6.625
2月3日,天门,117,10,5,0.017391304,0.043478261,0.026086957,0.128774846,0.024593764,-0.104181083,7.8,7.308333333
2月4日,天门,128,10,0,0.094017094,-0.042735043,-0.136752137,0.091008187,0.010348749,-0.080659437,9.375,8.183333333
2月5日,天门,138,10,1,0.078125,0.0078125,-0.0703125,0.063177799,0.002851906,-0.060325893,10.25,9.141666667
2月6日,天门,163,10,1,0.18115942,0,-0.18115942,0.117767171,-0.011640848,-0.129408019,11.25,10.29166667
2月7日,天门,179,10,1,0.098159509,0,-0.098159509,0.119147976,0.002604167,-0.11654381,12.25,11.25
2月8日,天门,197,10,1,0.100558659,0,-0.100558659,0.126625863,0,-0.126625863,13.25,12.25
2月9日,天门,217,10,10,0.101522843,0.045685279,-0.055837563,0.100080337,0.015228426,-0.084851911,13.3,12.93333333
2月10日,天门,261,10,12,0.202764977,0.00921659,-0.193548387,0.134948826,0.018300623,-0.116648203,14.1,13.55
1月21日,武汉,363,9,28,0.390804598,0.057471264,-0.333333333,0.231697472,0.037457711,-0.194239761,0,9.133333333
1月22日,武汉,425,17,28,0.170798898,0.022038567,-0.148760331,0.254789491,0.029575474,-0.225214017,1,5.033333333
1月23日,武汉,495,23,31,0.164705882,0.021176471,-0.143529412,0.242103126,0.033562101,-0.208541025,2,1
1月24日,武汉,572,38,32,0.155555556,0.032323232,-0.123232323,0.163686779,0.025179423,-0.138507355,3,2
1月25日,武汉,618,45,40,0.08041958,0.026223776,-0.054195804,0.133560339,0.026574493,-0.106985846,4,3
1月26日,武汉,698,63,42,0.129449838,0.03236246,-0.097087379,0.121808325,0.030303156,-0.091505169,5,4
1月27日,武汉,1590,85,45,1.277936963,0.035816619,-1.242120344,0.49593546,0.031467618,-0.464467842,6,5
1月28日,武汉,1905,104,78,0.198113208,0.032704403,-0.165408805,0.535166669,0.033627827,-0.501538843,7,6
1月29日,武汉,2261,129,85,0.18687664,0.0167979,-0.17007874,0.554308937,0.028439641,-0.525869296,8,7
1月30日,武汉,2639,159,106,0.167182663,0.022556391,-0.144626272,0.184057504,0.024019565,-0.160037939,9,8
1月31日,武汉,3215,192,142,0.218264494,0.026146268,-0.192118227,0.190774599,0.02183352,-0.168941079,10,9
2月1日,武汉,4109,224,174,0.27807154,0.019906687,-0.258164852,0.221172899,0.022869782,-0.198303117,10.43548387,9.811827957
2月2日,武汉,5142,265,227,0.251399367,0.022876612,-0.228522755,0.249245134,0.022976522,-0.226268611,10.04285714,10.159447
2月3日,武汉,6384,313,306,0.241540257,0.024698561,-0.216841696,0.257003721,0.022493954,-0.234509768,8.9875,9.821947005
2月4日,武汉,8351,362,368,0.308114035,0.017387218,-0.290726817,0.267017886,0.02165413,-0.245363756,8.964125561,9.331494234
2月5日,武汉,10117,414,431,0.21147168,0.013770806,-0.197700874,0.253708657,0.018618862,-0.235089796,9.835201794,9.262275785
