日期,省份,确诊人数,治愈人数,死亡人数
1月29日,贵州,12,1,0
1月29日,宁夏,17,0,0
1月29日,内蒙古,18,0,0
1月29日,新疆,14,0,0
1月29日,吉林,14,1,0
1月29日,香港,10,0,0
1月29日,台湾,9,0,0
1月29日,青海,8,0,0
1月29日,澳门,7,0,0
1月29日,西藏,1,0,0
1月29日,总计,8149,139,171
1月30日,湖北,5806,116,204
1月30日,浙江,538,9,0
1月30日,广东,436,11,0
1月30日,河南,352,3,2
1月30日,湖南,332,2,0
1月30日,安徽,237,3,0
1月30日,江西,240,6,0
1月30日,重庆,211,2,0
1月30日,四川,177,1,1
1月30日,山东,184,2,0
1月30日,江苏,168,5,0
1月30日,上海,135,9,1
1月30日,北京,139,4,1
1月30日,福建,120,0,0
1月30日,陕西,87,0,0
1月30日,广西,87,2,0
1月30日,河北,82,0,1
1月30日,云南,83,1,0
1月30日,黑龙江,59,0,2
1月30日,辽宁,48,1,0
1月30日,海南,52,1,1
1月30日,山西,39,1,0
1月30日,天津,32,0,0
1月30日,甘肃,29,0,0
1月30日,贵州,29,2,0
1月30日,宁夏,21,0,0
1月30日,内蒙古,20,1,0
1月30日,新疆,17,0,0
1月30日,吉林,14,1,0
1月30日,香港,12,0,0
1月30日,台湾,10,0,0
1月30日,青海,8,0,0
1月30日,澳门,7,0,0
1月30日,西藏,1,0,0
1月30日,总计,9812,183,213
1月31日,湖北,7153,166,249
1月31日,浙江,599,20,0
1月31日,广东,535,11,0
1月31日,河南,422,3,2
1月31日,湖南,389,5,0
1月31日,安徽,297,5,0
1月31日,江西,286,8,0
1月31日,重庆,247,3,1
1月31日,四川,207,3,1
1月31日,山东,206,3,0
1月31日,江苏,202,6,0
1月31日,上海,169,10,1
1月31日,北京,168,4,1
1月31日,福建,144,0,0
1月31日,陕西,101,0,0
1月31日,广西,100,2,0
1月31日,河北,96,0,1
1月31日,云南,91,2,0
1月31日,黑龙江,80,0,2
1月31日,辽宁,64,1,0
1月31日,海南,62,1,1
1月31日,山西,47,1,0
1月31日,天津,41,0,0
1月31日,甘肃,40,0,0
1月31日,贵州,29,2,0
1月31日,宁夏,26,0,0
1月31日,内蒙古,23,1,0
1月31日,新疆,18,0,0
1月31日,吉林,17,1,0
1月31日,香港,13,0,0
1月31日,台湾,10,0,0
1月31日,青海,9,0,0
1月31日,澳门,7,0,0
1月31日,西藏,1,0,0
1月31日,总计,11899,258,259
2月1日,湖北,9074,215,294
2月1日,浙江,661,23,0
2月1日,广东,632,13,0
2月1日,河南,493,12,2
2月1日,湖南,463,12,0
2月1日,安徽,340,6,0
2月1日,江西,333,9,0
2月1日,重庆,275,8,1
2月1日,四川,231,9,1
2月1日,山东,230,5,0
2月1日,江苏,236,7,0
2月1日,上海,182,10,1
2月1日,北京,191,8,1
2月1日,福建,159,0,0
2月1日,陕西,116,0,0
2月1日,广西,111,2,0
2月1日,河北,104,3,1
2月1日,云南,105,3,0
2月1日,黑龙江,95,2,2
2月1日,辽宁,70,1,0
2月1日,海南,64,4,1
2月1日,山西,56,2,0
2月1日,天津,48,0,0
2月1日,甘肃,40,3,0
2月1日,贵州,38,2,0
2月1日,宁夏,28,0,0
2月1日,内蒙古,27,1,0
2月1日,新疆,21,0,0
2月1日,吉林,23,1,0
2月1日,香港,14,0,0
2月1日,台湾,10,0,0
2月1日,青海,11,0,0
2月1日,澳门,8,0,0
2月1日,西藏,1,0,0
2月1日,总计,14490,361,304
2月2日,湖北,11177,297,350
2月2日,浙江,724,43,0
2月2日,广东,725,19,0
2月2日,河南,566,15,2
2月2日,湖南,521,21,0
2月2日,安徽,408,8,0
2月2日,江西,391,18,0
2月2日,重庆,312,8,2
2月2日,四川,254,13,1
2月2日,山东,259,7,0
2月2日,江苏,271,7,0
2月2日,上海,203,10,1
2月2日,北京,212,12,1
2月2日,福建,179,1,0
2月2日,陕西,128,0,0
2月2日,广西,127,7,0
2月2日,河北,113,3,1
2月2日,云南,114,5,0
2月2日,黑龙江,121,2,2
2月2日,辽宁,73,1,0
2月2日,海南,71,4,1
2月2日,山西,66,2,0
2月2日,天津,60,1,0
2月2日,甘肃,51,3,0
2月2日,贵州,46,2,0
2月2日,宁夏,31,1,0
2月2日,内蒙古,34,1,0
2月2日,新疆,24,0,0
2月2日,吉林,31,1,0
2月2日,香港,15,0,0
2月2日,台湾,10,0,0
2月2日,青海,13,0,0
2月2日,澳门,8,0,0
2月2日,西藏,1,0,0
2月2日,总计,17339,512,361
2月3日,湖北,13522,396,414
2月3日,浙江,829,48,0
2月3日,广东,797,20,0
2月3日,河南,675,20,2
2月3日,湖南,593,22,0
2月3日,安徽,480,14,0
2月3日,江西,476,19,0
2月3日,重庆,337,9,2
2月3日,四川,282,14,1
2月3日,山东,270,7,0
2月3日,江苏,308,8,0
2月3日,上海,208,10,1
2月3日,北京,212,12,1
2月3日,福建,179,1,0
2月3日,陕西,128,1,0
2月3日,广西,139,7,0
2月3日,河北,126,3,1
2月3日,云南,117,5,0
2月3日,黑龙江,155,2,2
2月3日,辽宁,74,1,0
2月3日,海南,79,4,1
2月3日,山西,74,2,0
2月3日,天津,60,1,0
2月3日,甘肃,55,3,0
2月3日,贵州,56,2,0
2月3日,宁夏,34,1,0
2月3日,内蒙古,34,1,0
2月3日,新疆,29,0,0
2月3日,吉林,42,1,0
2月3日,香港,15,0,0
2月3日,台湾,10,0,0
2月3日,青海,15,0,0
2月3日,澳门,9,0,0
2月3日,西藏,1,0,0
2月3日,总计,20420,634,425
2月4日,湖北,16678,520,479
2月4日,浙江,895,63,0
2月4日,广东,870,32,0
2月4日,河南,764,41,2
2月4日,湖南,661,35,0
2月4日,安徽,530,20,0
2月4日,江西,548,27,0
2月4日,重庆,366,14,2
2月4日,四川,301,23,1
2月4日,山东,298,13,0
2月4日,江苏,341,13,0
2月4日,上海,233,12,1
2月4日,北京,228,23,1
2月4日,福建,194,7,0
2月4日,陕西,142,2,0
2月4日,广西,150,10,0
2月4日,河北,135,4,1
2月4日,云南,122,5,0
2月4日,黑龙江,190,4,2
2月4日,辽宁,81,2,0
2月4日,海南,80,5,1
2月4日,山西,81,4,0
2月4日,天津,67,2,0
2月4日,甘肃,57,4,0
2月4日,贵州,64,5,0
2月4日,宁夏,34,1,0
2月4日,内蒙古,42,1,0
2月4日,新疆,32,0,0
2月4日,吉林,54,1,0
2月4日,香港,18,0,1
2月4日,台湾,11,0,0
2月4日,青海,17,0,0
2月4日,澳门,10,0,0
2月4日,西藏,1,0,0
2月4日,总计,24295,893,491
2月5日,湖北,19665,633,549
2月5日,浙江,954,81,0
2月5日,广东,944,49,0
2月5日,河南,851,49,2
2月5日,湖南,711,56,0
2月5日,安徽,591,23,0
2月5日,江西,600,37,0
2月5日,重庆,389,15,2
2月5日,四川,321,27,1
2月5日,山东,343,18,0
2月5日,江苏,373,26,0
2月5日,上海,254,15,1
2月5日,北京,253,24,1
2月5日,福建,205,11,0
2月5日,陕西,165,6,0
2月5日,广西,168,14,0
2月5日,河北,157,7,1
2月5日,云南,128,5,0
2月5日,黑龙江,227,7,3
2月5日,辽宁,89,4,0
2月5日,海南,105,5,1
2月5日,山西,90,6,0
2月5日,天津,69,2,1
2月5日,甘肃,62,4,0
2月5日,贵州,69,6,1
2月5日,宁夏,40,1,0
2月5日,内蒙古,46,3,0
2月5日,新疆,36,0,0
2月5日,吉林,59,2,0
2月5日,香港,21,0,1
2月5日,台湾,11,0,0
2月5日,青海,18,3,0
2月5日,澳门,10,0,0
2月5日,西藏,1,0,0
2月5日,总计,28025,1139,564
2月6日,湖北,22112,817,618
2月6日,浙江,1006,122,0
2月6日,广东,1034,88,1
2月6日,河南,914,84,3
2月6日,湖南,772,112,0
2月6日,安徽,665,47,0
2月6日,江西,661,45,0
2月6日,重庆,415,31,2
2月6日,四川,344,37,1
2月6日,山东,379,37,0
2月6日,江苏,408,43,0
2月6日,上海,277,30,1
2月6日,北京,297,33,1
2月6日,福建,224,15,0
2月6日,陕西,184,17,0
2月6日,广西,172,17,0
2月6日,河北,172,16,1
2月6日,云南,136,12,0
2月6日,黑龙江,277,12,3
2月6日,辽宁,96,7,0
2月6日,海南,117,10,2
2月6日,山西,96,15,0
2月6日,天津,81,2,1
2月6日,甘肃,67,9,0
2月6日,贵州,83,6,1
2月6日,宁夏,43,5,0
2月6日,内蒙古,46,4,0
2月6日,新疆,36,0,0
2月6日,吉林,65,4,1
2月6日,香港,25,0,1
2月6日,台湾,16,1,0
2月6日,青海,18,3,0
2月6日,澳门,10,1,0
2月6日,西藏,1,0,0
2月6日,总计,31249,1682,637
2月7日,湖北,24953,1115,699
2月7日,浙江,1048,127,0
2月7日,广东,1075,97,1
2月7日,河南,981,97,4
2月7日,湖南,803,119,0
2月7日,安徽,733,59,0
2月7日,江西,698,55,0
2月7日,重庆,426,31,2
2月7日,四川,363,50,1
2月7日,山东,407,38,0
2月7日,江苏,439,43,0
2月7日,上海,281,30,1
2月7日,北京,315,34,2
2月7日,福建,239,20,0
2月7日,陕西,195,17,0
2月7日,广西,183,17,0
2月7日,河北,195,25,1
2月7日,云南,138,12,0
2月7日,黑龙江,295,12,5
2月7日,辽宁,99,7,0
2月7日,海南,124,11,2
2月7日,山西,104,15,0
2月7日,天津,88,2,1
2月7日,甘肃,71,9,1
2月7日,贵州,89,6,1
2月7日,宁夏,45,5,0
2月7日,内蒙古,52,5,0
2月7日,新疆,42,0,0
2月7日,吉林,69,4,1
2月7日,香港,26,0,1
2月7日,台湾,17,1,0
2月7日,青海,18,3,0
2月7日,澳门,10,1,0
2月7日,西藏,1,0,0
2月7日,总计,34622,2067,723
2月8日,湖北,27100,1439,780
2月8日,浙江,1075,185,0
2月8日,广东,1120,127,1
2月8日,河南,1033,131,6
2月8日,湖南,838,159,1
2月8日,安徽,779,72,1
2月8日,江西,740,72,0
2月8日,重庆,446,39,2
2月8日,四川,386,62,1
2月8日,山东,435,50,1
2月8日,江苏,468,70,0
2月8日,上海,292,44,1
2月8日,北京,326,37,2
2月8日,福建,250,27,0
2月8日,陕西,208,25,0
2月8日,广西,195,18,1
2月8日,河北,206,30,2
2月8日,云南,140,17,0
2月8日,黑龙江,307,14,6
2月8日,辽宁,105,8,0
2月8日,海南,128,15,3
2月8日,山西,115,21,0
2月8日,天津,90,4,1
2月8日,甘肃,79,13,1
2月8日,贵州,96,7,1
2月8日,宁夏,45,13,0
2月8日,内蒙古,54,5,0
2月8日,新疆,45,0,0
2月8日,吉林,78,5,1
2月8日,香港,26,0,1
2月8日,台湾,17,1,0
2月8日,青海,18,3,0
2月8日,澳门,10,1,0
2月8日,西藏,1,0,0
2月8日,总计,37251,2714,813
2月9日,湖北,29631,1795,871
2月9日,浙江,1092,239,0
2月9日,广东,1159,163,1
2月9日,河南,1073,181,6
2月9日,湖南,879,204,1
2月9日,安徽,830,89,3
2月9日,江西,771,102,1
2月9日,重庆,466,64,2
2月9日,四川,405,80,1
2月9日,山东,459,63,1
2月9日,江苏,492,80,0
2月9日,上海,299,48,1
2月9日,北京,337,44,2
2月9日,福建,261,38,0
2月9日,陕西,213,29,0
2月9日,广西,210,18,1
2月9日,河北,218,35,2
2月9日,云南,149,19,0
2月9日,黑龙江,331,15,7
2月9日,辽宁,108,13,0
2月9日,海南,138,19,3
2月9日,山西,119,25,0
2月9日,天津,94,8,1
2月9日,甘肃,83,17,2
2月9日,贵州,109,7,1
2月9日,宁夏,49,13,0
2月9日,内蒙古,58,5,0
2月9日,新疆,49,0,0
2月9日,吉林,80,12,1
2月9日,香港,38,0,1
2月9日,台湾,18,1,0
2月9日,青海,18,3,0
2月9日,澳门,10,1,0
2月9日,西藏,1,0,0
2月9日,总计,40247,3430,909
2月10日,湖北,31728,2222,974
2月10日,浙江,1117,250,0
2月10日,广东,1177,181,1
2月10日,河南,1105,198,7
2月10日,湖南,912,213,1
2月10日,安徽,860,108,4
2月10日,江西,804,127,1
2月10日,重庆,489,72,2
2月10日,四川,417,82,1
2月10日,山东,487,75,1
2月10日,江苏,515,84,0
2月10日,上海,303,53,1
2月10日,北京,342,48,3
2月10日,福建,267,39,0
2月10日,陕西,219,31,0
2月10日,广西,215,30,1
2月10日,河北,239,41,2
2月10日,云南,153,20,0
2月10日,黑龙江,360,27,8
2月10日,辽宁,111,18,0
2月10日,海南,142,19,3
2月10日,山西,122,26,0
2月10日,天津,104,10,2
2月10日,甘肃,86,21,2
2月10日,贵州,127,13,1
2月10日,宁夏,53,14,0
2月10日,内蒙古,58,5,0
2月10日,新疆,55,0,0
2月10日,吉林,81,13,1
2月10日,香港,49,0,1
2月10日,台湾,18,1,0
2月10日,青海,18,3,0
2月10日,澳门,10,1,0
2月10日,西藏,1,0,0
2月10日,总计,42744,4045,1017
2月11日,湖北,33366,2639,1068
2月11日,浙江,1131,279,0
2月11日,广东,1219,241,1
2月11日,河南,1135,231,8
2月11日,湖南,946,263,2
2月11日,安徽,889,128,4
2月11日,江西,844,152,1
2月11日,重庆,505,79,3
2月11日,四川,436,85,1
2月11日,山东,497,80,1
2月11日,江苏,543,94,0
2月11日,上海,306,53,1
2月11日,北京,342,48,3
2月11日,福建,272,46,0
2月11日,陕西,219,31,0
2月11日,广西,222,31,1
2月11日,河北,251,48,2
2月11日,云南,153,20,0
2月11日,黑龙江,378,28,8
2月11日,辽宁,116,19,0
2月11日,海南,151,20,3
2月11日,山西,124,30,0
2月11日,天津,107,10,2
2月11日,甘肃,86,24,2
2月11日,贵州,131,17,1
2月11日,宁夏,58,22,0
2月11日,内蒙古,60,5,0
2月11日,新疆,59,3,0
2月11日,吉林,83,18,1
2月11日,香港,49,0,1
2月11日,台湾,18,1,0
2月11日,青海,18,5,0
2月11日,澳门,10,1,0
2月11日,西藏,1,0,0
2月11日,总计,44725,4751,1114
