日期,省份,确诊人数,治愈人数,死亡人数,新增确诊,新增治愈,新增死亡,现有确诊,扩散曲线
2020/2/23,安徽,989,692,6,0,44,0,291,0
2020/2/24,安徽,989,727,6,0,35,0,256,0
2020/2/25,安徽,989,764,6,0,37,0,219,0
2020/2/26,安徽,989,815,6,0,51,0,168,0
2020/2/27,安徽,990,842,6,1,27,0,142,0.005952381
2020/1/21,澳门,1,0,0,0,0,0,1,0
2020/1/22,澳门,2,0,0,1,0,0,2,1
2020/1/23,澳门,2,0,0,0,0,0,2,0
2020/1/24,澳门,2,0,0,0,0,0,2,0
2020/1/25,澳门,5,0,0,3,0,0,5,1.5
2020/1/26,澳门,6,0,0,1,0,0,6,0.2
2020/1/27,澳门,7,0,0,1,0,0,7,0.166666667
2020/1/28,澳门,7,0,0,0,0,0,7,0
2020/1/29,澳门,7,0,0,0,0,0,7,0
2020/1/30,澳门,7,0,0,0,0,0,7,0
2020/1/31,澳门,7,0,0,0,0,0,7,0
2020/2/1,澳门,8,0,0,1,0,0,8,0.142857143
2020/2/2,澳门,8,0,0,0,0,0,8,0
2020/2/3,澳门,9,0,0,1,0,0,9,0.125
2020/2/4,澳门,10,0,0,1,0,0,10,0.111111111
2020/2/5,澳门,10,0,0,0,0,0,10,0
2020/2/6,澳门,10,1,0,0,1,0,9,0
2020/2/7,澳门,10,1,0,0,0,0,9,0
2020/2/8,澳门,10,1,0,0,0,0,9,0
2020/2/9,澳门,10,1,0,0,0,0,9,0
2020/2/10,澳门,10,1,0,0,0,0,9,0
2020/2/11,澳门,10,1,0,0,0,0,9,0
2020/2/12,澳门,10,2,0,0,1,0,8,0
2020/2/13,澳门,10,3,0,0,1,0,7,0
2020/2/14,澳门,10,3,0,0,0,0,7,0
2020/2/15,澳门,10,3,0,0,0,0,7,0
2020/2/16,澳门,10,5,0,0,2,0,5,0
2020/2/17,澳门,10,5,0,0,0,0,5,0
2020/2/18,澳门,10,5,0,0,0,0,5,0
2020/2/19,澳门,10,5,0,0,0,0,5,0
2020/2/20,澳门,10,6,0,0,1,0,4,0
2020/2/21,澳门,10,6,0,0,0,0,4,0
2020/2/22,澳门,10,6,0,0,0,0,4,0
2020/2/23,澳门,10,6,0,0,0,0,4,0
2020/2/24,澳门,10,6,0,0,0,0,4,0
2020/2/25,澳门,10,7,0,0,1,0,3,0
2020/2/26,澳门,10,7,0,0,0,0,3,0
2020/2/27,澳门,10,8,0,0,1,0,2,0
2020/1/21,北京,10,0,0,0,0,0,10,0
2020/1/22,北京,22,0,0,12,0,0,22,1.2
2020/1/23,北京,36,0,0,14,0,0,36,0.636363636
2020/1/24,北京,41,1,0,5,1,0,40,0.138888889
2020/1/25,北京,54,1,0,13,0,0,53,0.325
2020/1/26,北京,80,1,1,26,0,1,78,0.490566038
2020/1/27,北京,91,3,1,11,2,0,87,0.141025641
2020/1/28,北京,111,3,1,20,0,0,107,0.229885057
2020/1/29,北京,114,4,1,3,1,0,109,0.028037383
2020/1/30,北京,139,4,1,25,0,0,134,0.229357798
2020/1/31,北京,168,4,1,29,0,0,163,0.21641791
2020/2/1,北京,191,8,1,23,4,0,182,0.141104294
2020/2/2,北京,212,12,1,21,4,0,199,0.115384615
2020/2/3,北京,228,23,1,16,11,0,204,0.08040201
2020/2/4,北京,253,24,1,25,1,0,228,0.12254902
2020/2/5,北京,274,31,1,21,7,0,242,0.092105263
2020/2/6,北京,297,33,1,23,2,0,263,0.095041322
2020/2/7,北京,315,34,2,18,1,1,279,0.068441065
2020/2/8,北京,326,37,2,11,3,0,287,0.039426523
2020/2/9,北京,337,44,2,11,7,0,291,0.038327526
2020/2/10,北京,342,48,3,5,4,1,291,0.017182131
2020/2/11,北京,352,56,3,10,8,0,293,0.034364261
2020/2/12,北京,366,68,3,14,12,0,295,0.04778157
2020/2/13,北京,372,79,3,6,11,0,290,0.020338983
2020/2/14,北京,375,97,4,3,18,1,274,0.010344828
2020/2/15,北京,380,105,4,5,8,0,271,0.018248175
2020/2/16,北京,381,114,4,1,9,0,263,0.003690037
2020/2/17,北京,387,122,4,6,8,0,261,0.022813688
2020/2/18,北京,393,145,4,6,23,0,244,0.022988506
2020/2/19,北京,395,153,4,2,8,0,238,0.008196721
2020/2/20,北京,396,169,4,1,16,0,223,0.004201681
2020/2/21,北京,399,178,4,3,9,0,217,0.013452915
2020/2/22,北京,399,189,4,0,11,0,206,0
2020/2/23,北京,399,198,4,0,9,0,197,0
2020/2/24,北京,400,215,4,1,17,0,181,0.005076142
2020/2/25,北京,400,235,4,0,20,0,161,0
2020/2/26,北京,410,248,5,10,13,1,157,0.062111801
2020/2/27,北京,410,257,7,0,9,2,146,0
2020/1/21,福建,1,0,0,0,0,0,1,0
2020/1/22,福建,5,0,0,4,0,0,5,4
2020/1/23,福建,10,0,0,5,0,0,10,1
2020/1/24,福建,18,0,0,8,0,0,18,0.8
2020/1/25,福建,18,0,0,0,0,0,18,0
2020/1/26,福建,59,0,0,41,0,0,59,2.277777778
2020/1/27,福建,80,0,0,21,0,0,80,0.355932203
2020/1/28,福建,84,0,0,4,0,0,84,0.05
2020/1/29,福建,101,0,0,17,0,0,101,0.202380952
2020/1/30,福建,120,0,0,19,0,0,120,0.188118812
2020/1/31,福建,144,0,0,24,0,0,144,0.2
2020/2/1,福建,159,0,0,15,0,0,159,0.104166667
2020/2/2,福建,179,0,0,20,0,0,179,0.125786164
2020/2/3,福建,194,1,0,15,1,0,193,0.083798883
2020/2/4,福建,205,7,0,11,6,0,198,0.056994819
2020/2/5,福建,215,11,0,10,4,0,204,0.050505051
2020/2/6,福建,224,15,0,9,4,0,209,0.044117647
2020/2/7,福建,239,20,0,15,5,0,219,0.071770335
2020/2/8,福建,250,24,0,11,4,0,226,0.050228311
2020/2/9,福建,261,35,0,11,11,0,226,0.048672566
2020/2/10,福建,267,39,0,6,4,0,228,0.026548673
2020/2/11,福建,272,46,0,5,7,0,226,0.021929825
2020/2/12,福建,279,54,0,7,8,0,225,0.030973451
2020/2/13,福建,281,59,0,2,5,0,222,0.008888889
2020/2/14,福建,285,66,0,4,7,0,219,0.018018018
2020/2/15,福建,287,77,0,2,11,0,210,0.00913242
2020/2/16,福建,290,84,0,3,7,0,206,0.014285714
2020/2/17,福建,292,91,0,2,7,0,201,0.009708738
2020/2/18,福建,293,96,0,1,5,0,197,0.004975124
2020/2/19,福建,293,112,1,0,16,1,180,0
2020/2/20,福建,293,134,1,0,22,0,158,0
2020/2/21,福建,293,150,1,0,16,0,142,0
2020/2/22,福建,293,165,1,0,15,0,127,0
2020/2/23,福建,293,174,1,0,9,0,118,0
2020/2/24,福建,294,188,1,1,14,0,105,0.008474576
2020/2/25,福建,294,205,1,0,17,0,88,0
2020/2/26,福建,296,225,1,2,20,0,70,0.022727273
2020/2/27,福建,296,232,1,0,7,0,63,0
2020/1/21,甘肃,0,0,0,0,0,0,0,0
2020/1/22,甘肃,2,0,0,2,0,0,2,0
2020/1/23,甘肃,2,0,0,0,0,0,2,0
2020/1/24,甘肃,4,0,0,2,0,0,4,1
2020/1/25,甘肃,7,0,0,3,0,0,7,0.75
2020/1/26,甘肃,14,0,0,7,0,0,14,1
2020/1/27,甘肃,19,0,0,5,0,0,19,0.357142857
2020/1/28,甘肃,24,0,0,5,0,0,24,0.263157895
2020/1/29,甘肃,26,0,0,2,0,0,26,0.083333333
2020/1/30,甘肃,29,0,0,3,0,0,29,0.115384615
2020/1/31,甘肃,40,0,0,11,0,0,40,0.379310345
2020/2/1,甘肃,40,3,0,0,3,0,37,0
2020/2/2,甘肃,51,3,0,11,0,0,48,0.297297297
2020/2/3,甘肃,55,3,0,4,0,0,52,0.083333333
2020/2/4,甘肃,57,4,0,2,1,0,53,0.038461538
2020/2/5,甘肃,62,4,0,5,0,0,58,0.094339623
2020/2/6,甘肃,67,9,0,5,5,0,58,0.086206897
2020/2/7,甘肃,71,9,1,4,0,1,61,0.068965517
2020/2/8,甘肃,79,13,1,8,4,0,65,0.131147541
2020/2/9,甘肃,83,17,2,4,4,1,64,0.061538462
2020/2/10,甘肃,86,21,2,3,4,0,63,0.046875
2020/2/11,甘肃,86,24,2,0,3,0,60,0
2020/2/12,甘肃,87,31,2,1,7,0,54,0.016666667
2020/2/13,甘肃,90,39,2,3,8,0,49,0.055555556
2020/2/14,甘肃,90,44,2,0,5,0,44,0
2020/2/15,甘肃,90,49,2,0,5,0,39,0
2020/2/16,甘肃,90,54,2,0,5,0,34,0
2020/2/17,甘肃,91,58,2,1,4,0,31,0.029411765
2020/2/18,甘肃,91,62,2,0,4,0,27,0
2020/2/19,甘肃,91,65,2,0,3,0,24,0
2020/2/20,甘肃,91,71,2,0,6,0,18,0
2020/2/21,甘肃,91,76,2,0,5,0,13,0
2020/2/22,甘肃,91,76,2,0,0,0,13,0
2020/2/23,甘肃,91,78,2,0,2,0,11,0
2020/2/24,甘肃,91,80,2,0,2,0,9,0
2020/2/25,甘肃,91,80,2,0,0,0,9,0
2020/2/26,甘肃,91,81,2,0,1,0,8,0
2020/2/27,甘肃,91,82,2,0,1,0,7,0
2020/1/21,广东,26,0,0,0,0,0,26,0
2020/1/22,广东,32,2,0,6,2,0,30,0.230769231
2020/1/23,广东,53,2,0,21,0,0,51,0.7
2020/1/24,广东,78,2,0,25,0,0,76,0.490196078
2020/1/25,广东,98,2,0,20,0,0,96,0.263157895
2020/1/26,广东,151,3,0,53,1,0,148,0.552083333
2020/1/27,广东,207,4,0,56,1,0,203,0.378378378
2020/1/28,广东,277,6,0,70,2,0,271,0.344827586
2020/1/29,广东,354,10,0,77,4,0,344,0.284132841
2020/1/30,广东,436,11,0,82,1,0,425,0.238372093
2020/1/31,广东,535,11,0,99,0,0,524,0.232941176
2020/2/1,广东,632,13,0,97,2,0,619,0.185114504
2020/2/2,广东,725,19,0,93,6,0,706,0.150242326
2020/2/3,广东,797,20,0,72,1,0,777,0.101983003
2020/2/4,广东,870,32,0,73,12,0,838,0.093951094
2020/2/5,广东,944,49,0,74,17,0,895,0.088305489
2020/2/6,广东,1034,88,1,90,39,1,945,0.100558659
2020/2/7,广东,1075,97,1,41,9,0,977,0.043386243
2020/2/8,广东,1120,127,1,45,30,0,992,0.046059365
2020/2/9,广东,1159,163,1,39,36,0,995,0.039314516
2020/2/10,广东,1177,181,1,18,18,0,995,0.018090452
2020/2/11,广东,1219,241,1,42,60,0,977,0.042211055
2020/2/12,广东,1241,284,2,22,43,1,955,0.022517912
2020/2/13,广东,1261,332,2,20,48,0,927,0.020942408
2020/2/14,广东,1294,386,2,33,54,0,906,0.035598706
2020/2/15,广东,1316,436,2,22,50,0,878,0.024282561
2020/2/16,广东,1322,473,4,6,37,2,845,0.006833713
2020/2/17,广东,1328,530,4,6,57,0,794,0.007100592
2020/2/18,广东,1331,571,5,3,41,1,755,0.003778338
2020/2/19,广东,1332,619,5,1,48,0,708,0.001324503
2020/2/20,广东,1333,664,5,1,45,0,664,0.001412429
2020/2/21,广东,1339,720,5,6,56,0,614,0.009036145
2020/2/22,广东,1342,740,6,3,20,1,596,0.004885993
2020/2/23,广东,1345,772,6,3,32,0,567,0.005033557
2020/2/24,广东,1347,805,7,2,33,1,535,0.003527337
2020/2/25,广东,1347,841,7,0,36,0,499,0
2020/2/26,广东,1347,873,7,0,32,0,467,0
2020/2/27,广东,1348,919,7,1,46,0,422,0.002141328
2020/1/21,广西,2,0,0,0,0,0,2,0
2020/1/22,广西,5,0,0,3,0,0,5,1.5
2020/1/23,广西,13,0,0,8,0,0,13,1.6
2020/1/24,广西,23,0,0,10,0,0,23,0.769230769
2020/1/25,广西,33,0,0,10,0,0,33,0.434782609
2020/1/26,广西,46,0,0,13,0,0,46,0.393939394
2020/1/27,广西,51,2,0,5,2,0,49,0.108695652
2020/1/28,广西,58,2,0,7,0,0,56,0.142857143
2020/1/29,广西,78,2,0,20,0,0,76,0.357142857
2020/1/30,广西,87,2,0,9,0,0,85,0.118421053
2020/1/31,广西,100,2,0,13,0,0,98,0.152941176
2020/2/1,广西,111,2,0,11,0,0,109,0.112244898
2020/2/2,广西,127,7,0,16,5,0,120,0.146788991
2020/2/3,广西,139,7,0,12,0,0,132,0.1
2020/2/4,广西,150,10,0,11,3,0,140,0.083333333
2020/2/5,广西,168,14,0,18,4,0,154,0.128571429
2020/2/6,广西,172,17,0,4,3,0,155,0.025974026
2020/2/7,广西,183,17,0,11,0,0,166,0.070967742
2020/2/8,广西,195,18,1,12,1,1,176,0.072289157
2020/2/9,广西,210,18,1,15,0,0,191,0.085227273
2020/2/10,广西,215,30,1,5,12,0,184,0.02617801
2020/2/11,广西,222,31,1,7,1,0,190,0.038043478
2020/2/12,广西,222,33,2,0,2,1,187,0
2020/2/13,广西,226,35,2,4,2,0,189,0.021390374
2020/2/14,广西,235,40,2,9,5,0,193,0.047619048
2020/2/15,广西,237,46,2,2,6,0,189,0.010362694
2020/2/16,广西,238,51,2,1,5,0,185,0.005291005
2020/2/17,广西,242,58,2,4,7,0,182,0.021621622
2020/2/18,广西,244,76,2,2,18,0,166,0.010989011
2020/2/19,广西,245,87,2,1,11,0,156,0.006024096
2020/2/20,广西,246,95,2,1,8,0,149,0.006410256
2020/2/21,广西,249,99,2,3,4,0,148,0.020134228
2020/2/22,广西,249,104,2,0,5,0,143,0
2020/2/23,广西,251,107,2,2,3,0,142,0.013986014
2020/2/24,广西,252,129,2,1,22,0,121,0.007042254
2020/2/25,广西,252,138,2,0,9,0,112,0
2020/2/26,广西,252,159,2,0,21,0,91,0
2020/2/27,广西,252,166,2,0,7,0,84,0
2020/1/21,贵州,1,0,0,0,0,0,1,0
2020/1/22,贵州,3,0,0,2,0,0,3,2
2020/1/23,贵州,3,0,0,0,0,0,3,0
2020/1/24,贵州,4,0,0,1,0,0,4,0.333333333
2020/1/25,贵州,5,0,0,1,0,0,5,0.25
2020/1/26,贵州,7,0,0,2,0,0,7,0.4
2020/1/27,贵州,9,0,0,2,0,0,9,0.285714286
2020/1/28,贵州,9,1,0,0,1,0,8,0
2020/1/29,贵州,12,1,0,3,0,0,11,0.375
2020/1/30,贵州,29,2,0,17,1,0,27,1.545454545
2020/1/31,贵州,29,2,0,0,0,0,27,0
2020/2/1,贵州,38,2,0,9,0,0,36,0.333333333
2020/2/2,贵州,46,2,0,8,0,0,44,0.222222222
2020/2/3,贵州,56,2,0,10,0,0,54,0.227272727
2020/2/4,贵州,64,5,0,8,3,0,59,0.148148148
2020/2/5,贵州,69,6,1,5,1,1,62,0.084745763
2020/2/6,贵州,83,6,1,14,0,0,76,0.225806452
2020/2/7,贵州,89,6,1,6,0,0,82,0.078947368
2020/2/8,贵州,96,7,1,7,1,0,88,0.085365854
2020/2/9,贵州,109,7,1,13,0,0,101,0.147727273
2020/2/10,贵州,127,13,1,18,6,0,113,0.178217822
2020/2/11,贵州,131,17,1,4,4,0,113,0.03539823
2020/2/12,贵州,135,20,1,4,3,0,114,0.03539823
2020/2/13,贵州,140,28,1,5,8,0,111,0.043859649
2020/2/14,贵州,143,33,1,3,5,0,109,0.027027027
2020/2/15,贵州,144,37,1,1,4,0,106,0.009174312
2020/2/16,贵州,146,47,1,2,10,0,98,0.018867925
2020/2/17,贵州,146,66,1,0,19,0,79,0
2020/2/18,贵州,146,69,2,0,3,1,75,0
2020/2/19,贵州,146,71,2,0,2,0,73,0
2020/2/20,贵州,146,76,2,0,5,0,68,0
2020/2/21,贵州,146,90,2,0,14,0,54,0
2020/2/22,贵州,146,91,2,0,1,0,53,0
2020/2/23,贵州,146,102,2,0,11,0,42,0
2020/2/24,贵州,146,103,2,0,1,0,41,0
2020/2/25,贵州,146,104,2,0,1,0,40,0
2020/2/26,贵州,146,112,2,0,8,0,32,0
2020/2/27,贵州,146,112,2,0,0,0,32,0
2020/1/21,海南,4,0,0,0,0,0,4,0
2020/1/22,海南,5,0,0,1,0,0,5,0.25
2020/1/23,海南,8,0,0,3,0,0,8,0.6
2020/1/24,海南,19,0,0,11,0,0,19,1.375
2020/1/25,海南,22,0,0,3,0,0,22,0.157894737
2020/1/26,海南,33,0,1,11,0,1,32,0.5
2020/1/27,海南,40,0,1,7,0,0,39,0.21875
2020/1/28,海南,43,1,1,3,1,0,41,0.076923077
2020/1/29,海南,46,1,1,3,0,0,44,0.073170732
2020/1/30,海南,52,1,1,6,0,0,50,0.136363636
2020/1/31,海南,62,1,1,10,0,0,60,0.2
2020/2/1,海南,64,4,1,2,3,0,59,0.033333333
2020/2/2,海南,71,4,1,7,0,0,66,0.118644068
2020/2/3,海南,79,4,1,8,0,0,74,0.121212121
2020/2/4,海南,80,5,1,1,1,0,74,0.013513514
2020/2/5,海南,105,5,1,25,0,0,99,0.337837838
2020/2/6,海南,117,10,2,12,5,1,105,0.121212121
2020/2/7,海南,124,11,2,7,1,0,111,0.066666667
2020/2/8,海南,128,15,3,4,4,1,110,0.036036036
2020/2/9,海南,138,19,3,10,4,0,116,0.090909091
2020/2/10,海南,142,19,3,4,0,0,120,0.034482759
2020/2/11,海南,151,20,3,9,1,0,128,0.075
2020/2/12,海南,157,27,4,6,7,1,126,0.046875
2020/2/13,海南,158,30,4,1,3,0,124,0.007936508
2020/2/14,海南,162,38,4,4,8,0,120,0.032258065
2020/2/15,海南,162,39,4,0,1,0,119,0
2020/2/16,海南,162,52,4,0,13,0,106,0
2020/2/17,海南,163,59,4,1,7,0,100,0.009433962
2020/2/18,海南,163,79,4,0,20,0,80,0
2020/2/19,海南,168,84,4,5,5,0,80,0.0625
2020/2/20,海南,168,89,4,0,5,0,75,0
2020/2/21,海南,168,96,4,0,7,0,68,0
2020/2/22,海南,168,104,4,0,8,0,60,0
2020/2/23,海南,168,106,5,0,2,1,57,0
2020/2/24,海南,168,116,5,0,10,0,47,0
2020/2/25,海南,168,124,5,0,8,0,39,0
2020/2/26,海南,168,129,5,0,5,0,34,0
2020/2/27,海南,168,132,5,0,3,0,31,0
2020/1/21,河北,1,0,0,0,0,0,1,0
2020/1/22,河北,1,0,0,0,0,0,1,0
2020/1/23,河北,2,0,1,1,0,1,1,1
2020/1/24,河北,8,0,1,6,0,0,7,6
2020/1/25,河北,13,0,1,5,0,0,12,0.714285714
2020/1/26,河北,18,0,1,5,0,0,17,0.416666667
2020/1/27,河北,33,0,1,15,0,0,32,0.882352941
2020/1/28,河北,48,0,1,15,0,0,47,0.46875
2020/1/29,河北,65,0,1,17,0,0,64,0.361702128
2020/1/30,河北,82,0,1,17,0,0,81,0.265625
2020/1/31,河北,96,0,1,14,0,0,95,0.172839506
2020/2/1,河北,104,3,1,8,3,0,100,0.084210526
2020/2/2,河北,113,3,1,9,0,0,109,0.09
2020/2/3,河北,126,3,1,13,0,0,122,0.119266055
2020/2/4,河北,135,4,1,9,1,0,130,0.073770492
2020/2/5,河北,157,7,1,22,3,0,149,0.169230769
2020/2/6,河北,172,16,1,15,9,0,155,0.100671141
2020/2/7,河北,195,25,1,23,9,0,169,0.148387097
2020/2/8,河北,206,30,2,11,5,1,174,0.065088757
2020/2/9,河北,218,35,2,12,5,0,181,0.068965517
2020/2/10,河北,239,41,2,21,6,0,196,0.116022099
2020/2/11,河北,251,48,2,12,7,0,201,0.06122449
2020/2/12,河北,265,54,3,14,6,1,208,0.069651741
2020/2/13,河北,283,69,3,18,15,0,211,0.086538462
2020/2/14,河北,291,86,3,8,17,0,202,0.037914692
2020/2/15,河北,300,100,3,9,14,0,197,0.044554455
2020/2/16,河北,301,109,3,1,9,0,189,0.005076142
2020/2/17,河北,302,123,4,1,14,1,175,0.005291005
2020/2/18,河北,306,136,4,4,13,0,166,0.022857143
2020/2/19,河北,307,152,5,1,16,1,150,0.006024096
2020/2/20,河北,308,170,5,1,18,0,133,0.006666667
2020/2/21,河北,309,184,6,1,14,1,119,0.007518797
2020/2/22,河北,311,204,6,2,20,0,101,0.016806723
2020/2/23,河北,311,221,6,0,17,0,84,0
2020/2/24,河北,311,241,6,0,20,0,64,0
2020/2/25,河北,312,248,6,1,7,0,58,0.015625
2020/2/26,河北,317,261,6,5,13,0,50,0.086206897
2020/2/27,河北,318,274,6,1,13,0,38,0.02
2020/1/21,河南,5,0,0,0,0,0,5,0
2020/1/22,河南,5,0,0,0,0,0,5,0
2020/1/23,河南,9,0,0,4,0,0,9,0.8
2020/1/24,河南,32,0,0,23,0,0,32,2.555555556
2020/1/25,河南,83,0,1,51,0,1,82,1.59375
2020/1/26,河南,128,0,1,45,0,0,127,0.548780488
2020/1/27,河南,168,0,1,40,0,0,167,0.31496063
2020/1/28,河南,206,0,2,38,0,1,204,0.22754491
2020/1/29,河南,278,2,2,72,2,0,274,0.352941176
2020/1/30,河南,352,3,2,74,1,0,347,0.270072993
2020/1/31,河南,422,3,2,70,0,0,417,0.201729107
2020/2/1,河南,493,12,2,71,9,0,479,0.170263789
2020/2/2,河南,566,15,2,73,3,0,549,0.152400835
2020/2/3,河南,675,20,2,109,5,0,653,0.198542805
2020/2/4,河南,764,41,2,89,21,0,721,0.136294028
2020/2/5,河南,851,49,2,87,8,0,800,0.120665742
2020/2/6,河南,914,84,3,63,35,1,827,0.07875
2020/2/7,河南,981,97,4,67,13,1,880,0.081015719
2020/2/8,河南,1033,131,6,52,34,2,896,0.059090909
2020/2/9,河南,1073,181,6,40,50,0,886,0.044642857
2020/2/10,河南,1105,198,7,32,17,1,900,0.036117381
2020/2/11,河南,1135,231,8,30,33,1,896,0.033333333
2020/2/12,河南,1169,258,10,34,27,2,901,0.037946429
2020/2/13,河南,1184,313,11,15,55,1,860,0.016648169
2020/2/14,河南,1212,356,13,28,43,2,843,0.03255814
2020/2/15,河南,1231,397,13,19,41,0,821,0.022538553
2020/2/16,河南,1246,438,16,15,41,3,792,0.018270402
2020/2/17,河南,1257,505,19,11,67,3,733,0.013888889
2020/2/18,河南,1262,552,19,5,47,0,691,0.006821282
2020/2/19,河南,1265,614,19,3,62,0,632,0.004341534
2020/2/20,河南,1267,717,19,2,103,0,531,0.003164557
2020/2/21,河南,1270,802,19,3,85,0,449,0.005649718
2020/2/22,河南,1271,861,19,1,59,0,391,0.002227171
2020/2/23,河南,1271,930,19,0,69,0,322,0
2020/2/24,河南,1271,989,19,0,59,0,263,0
2020/2/25,河南,1271,1023,19,0,34,0,229,0
2020/2/26,河南,1272,1062,20,1,39,1,190,0.004366812
2020/2/27,河南,1272,1103,20,0,41,0,149,0
2020/1/21,黑龙江,0,0,0,0,0,0,0,0
2020/1/22,黑龙江,2,0,0,2,0,0,2,0
2020/1/23,黑龙江,4,0,1,2,0,1,3,1
2020/1/24,黑龙江,9,0,1,5,0,0,8,1.666666667
2020/1/25,黑龙江,15,0,1,6,0,0,14,0.75
2020/1/26,黑龙江,21,0,1,6,0,0,20,0.428571429
2020/1/27,黑龙江,30,0,1,9,0,0,29,0.45
2020/1/28,黑龙江,38,0,1,8,0,0,37,0.275862069
2020/1/29,黑龙江,44,0,2,6,0,1,42,0.162162162
2020/1/30,黑龙江,59,0,2,15,0,0,57,0.357142857
2020/1/31,黑龙江,80,0,2,21,0,0,78,0.368421053
2020/2/1,黑龙江,95,2,2,15,2,0,91,0.192307692
2020/2/2,黑龙江,121,2,2,26,0,0,117,0.285714286
2020/2/3,黑龙江,155,2,2,34,0,0,151,0.290598291
2020/2/4,黑龙江,190,4,2,35,2,0,184,0.231788079
2020/2/5,黑龙江,227,7,3,37,3,1,217,0.201086957
2020/2/6,黑龙江,277,12,3,50,5,0,262,0.230414747
2020/2/7,黑龙江,295,12,5,18,0,2,278,0.06870229
2020/2/8,黑龙江,307,14,6,12,2,1,287,0.043165468
2020/2/9,黑龙江,331,15,7,24,1,1,309,0.083623693
2020/2/10,黑龙江,360,27,8,29,12,1,325,0.093851133
2020/2/11,黑龙江,378,28,8,18,1,0,342,0.055384615
2020/2/12,黑龙江,395,31,9,17,3,1,355,0.049707602
2020/2/13,黑龙江,418,37,11,23,6,2,370,0.064788732
2020/2/14,黑龙江,425,48,11,7,11,0,366,0.018918919
2020/2/15,黑龙江,445,70,11,20,22,0,364,0.054644809
2020/2/16,黑龙江,457,80,11,12,10,0,366,0.032967033
2020/2/17,黑龙江,464,85,11,7,5,0,368,0.019125683
2020/2/18,黑龙江,470,108,12,6,23,1,350,0.016304348
2020/2/19,黑龙江,476,123,12,6,15,0,341,0.017142857
2020/2/20,黑龙江,479,141,12,3,18,0,326,0.008797654
2020/2/21,黑龙江,479,183,12,0,42,0,284,0
2020/2/22,黑龙江,480,215,12,1,32,0,253,0.003521127
2020/2/23,黑龙江,480,224,12,0,9,0,244,0
2020/2/24,黑龙江,480,232,12,0,8,0,236,0
2020/2/25,黑龙江,480,245,12,0,13,0,223,0
2020/2/26,黑龙江,480,262,13,0,17,1,205,0
2020/2/27,黑龙江,480,280,13,0,18,0,187,0
2020/1/21,湖北,444,0,17,0,0,0,427,0
2020/1/22,湖北,444,28,17,0,28,0,399,0
2020/1/23,湖北,529,31,24,85,3,7,474,0.213032581
2020/1/24,湖北,730,32,39,201,1,15,659,0.424050633
2020/1/25,湖北,1052,42,52,322,10,13,958,0.48861912
2020/1/26,湖北,1423,44,76,371,2,24,1303,0.387265136
2020/1/27,湖北,2714,47,100,1291,3,24,2567,0.990790483
2020/1/28,湖北,3554,80,125,840,33,25,3349,0.32723023
2020/1/29,湖北,4903,90,162,1349,10,37,4651,0.402806808
2020/1/30,湖北,5806,116,204,903,26,42,5486,0.194151795
2020/1/31,湖北,7153,166,249,1347,50,45,6738,0.245534087
2020/2/1,湖北,9074,215,294,1921,49,45,8565,0.285099436
2020/2/2,湖北,11177,297,350,2103,82,56,10530,0.245534151
2020/2/3,湖北,13522,396,414,2345,99,64,12712,0.222697056
