Climate Division,Temperature Change
3106,0.758798232
3107,0.827803204
3108,0.744423841
3201,2.498073332
3202,2.404968568
3203,2.254320208
3204,2.325468845
3205,2.238512323
3206,2.094945948
3207,2.293931981
3208,2.153298351
3209,1.996521476
3301,1.470356927
3302,0.859175675
3303,1.935058786
3304,1.083537179
3305,0.885629554
3306,1.117408401
3307,1.303571898
3308,1.291623925
3309,0.736934164
3310,0.767793735
3401,0.866961256
3402,0.704752887
3403,0.017898945
3404,0.86963755
3405,0.099318762
3406,-0.386017518
3407,0.662852784
3408,0.05917436
3409,-0.111181251
3501,1.788349246
3502,1.608873195
3503,2.09501828
3504,1.675563534
3505,2.260034456
3506,2.049383203
3507,2.466720587
3508,2.008370815
3509,2.208159078
3601,2.034653726
3602,2.019227228
3603,2.324719219
3604,1.978477866
3605,1.157487046
3606,0.975676635
3607,0.785686104
3608,1.018365817
3609,0.712137352
3610,1.71076304
3701,3.075087456
3801,0.52646703
3802,0.799784318
3803,0.528998659
3804,0.631809095
3805,0.488361083
3806,0.402114732
3807,0.722572924
3901,2.050520792
3902,1.516504905
3903,1.624062969
3904,2.014150819
3905,2.156408638
3906,1.716010416
3907,1.589165943
3908,1.878153029
3909,1.329973171
4001,0.010481601
4002,-0.001782004
4003,0.123346222
4004,0.309654383
4101,1.392106578
4102,0.784443305
4103,0.327757174
4104,0.201438754
4105,1.902627634
4106,0.349627818
4107,0.864791289
4108,1.057918409
4109,0.907158263
4110,0.715102975
4201,1.731101554
4202,2.037921829
4203,1.635813672
4204,1.957106973
4205,1.885905731
4206,2.712466135
4207,2.816124832
4301,2.349601515
4302,2.469186459
4303,2.480312475
4401,1.20209632
4402,1.11336437
4403,1.01111944
4404,1.704404377
4405,0.947736658
4406,0.507759278
4501,1.347780057
4502,1.279445803
4503,1.262388543
4504,1.41116284
4505,1.456857098
4506,1.6243786
4507,1.479102554
4508,1.662241248
4509,1.419349536
4510,1.935893895
4601,0.825791052
4602,0.858938952
4603,0.167942345
4604,0.715175307
4605,0.240353507
4606,1.011717825
4701,2.014163971
4702,1.906053552
4703,2.335075883
4704,1.652976144
4705,1.776052763
4706,2.075330756
4707,1.048521792
4708,1.393730766
4709,1.308575975
4801,1.599285883
4802,1.214530892
4803,2.019976854
4804,1.99496962
4805,1.948459981
4806,2.140120729
4807,2.066184013
4808,2.598930798
4809,2.029241958
4810,2.624043242
5001,2.893918883
5002,2.436614111
5003,3.071043691
5004,2.027671604
5005,1.679460636
5006,2.059165472
5007,2.715865053
5008,1.978924457
5009,1.573406063
50010,-0.606505813
50011,1.094720497
50012,1.397170462
50013,0.965334183
